user,media,type,gmeet_min,zoom_min,siruntu_min,gmeet_max,zoom_max,siruntu_max,gmeet_mean,zoom_mean,siruntu_mean
presenter,webcam,download (kbytes),0.00,0.00,0.00,9.50,34.65,1.79,2.07,7.63,0.42
presenter,screen,download (kbytes),0.10,0.00,0.16,8.52,3.42,3.17,1.41,0.23,0.60
presenter,webcam,upload (kbytes),3.69,0.00,0.55,124.54,152.44,265.67,25.44,36.65,27.41
presenter,screen,upload (kbytes),0.00,0.00,3.97,167.09,3.02,116.54,24.29,0.35,29.54
viewer_1,webcam,download (kbytes),0.00,0.00,0.00,144.17,796.08,533.27,23.60,35.24,27.12
viewer_1,screen,download (kbytes),0.00,0.00,0.13,189.57,610.70,302.16,23.55,14.28,62.84
viewer_1,webcam,upload (kbytes),0.35,0.00,0.00,27.54,38.92,6.81,2.52,4.35,0.64
viewer_1,screen,upload (kbytes),0.21,0.00,0.00,80.41,57.02,4.17,2.04,1.18,1.04
viewer_2,webcam,download (kbytes),0.00,0.00,0.41,156.07,640.93,115.78,22.30,35.50,25.09
viewer_2,screen,download (kbytes),0.00,0.00,0.00,185.96,530.02,166.02,22.73,16.73,48.65
viewer_2,webcam,upload (kbytes),0.00,0.00,0.00,5.07,55.60,3.47,2.46,4.43,0.61
viewer_2,screen,upload (kbytes),0.00,0.00,0.00,3.60,78.20,3.72,1.89,1.25,1.38
viewer_3,webcam,download (kbytes),0.00,0.00,0.00,159.55,441.07,127.91,21.07,30.82,25.92
viewer_3,screen,download (kbytes),0.00,0.00,0.00,212.47,324.11,176.14,23.35,12.75,49.88
viewer_3,webcam,upload (kbytes),0.00,0.00,0.11,11.38,23.53,3.35,2.56,4.26,0.61
viewer_3,screen,upload (kbytes),0.42,0.00,0.00,31.98,29.59,3.97,2.01,0.97,1.39
viewer_4,webcam,download (kbytes),0.00,0.00,7.43,157.22,541.86,138.53,20.17,34.71,25.99
viewer_4,screen,download (kbytes),0.00,0.00,0.06,189.10,552.83,227.32,21.66,16.21,61.20
viewer_4,webcam,upload (kbytes),0.78,0.00,0.22,14.10,25.64,3.83,2.62,4.48,0.69
viewer_4,screen,upload (kbytes),0.50,0.00,0.00,11.75,25.63,4.43,1.98,1.16,0.93
viewer_5,webcam,download (kbytes),0.00,0.00,3.84,212.11,355.38,134.22,19.70,22.19,26.84
viewer_5,screen,download (kbytes),0.00,0.00,0.00,161.41,537.39,140.77,21.31,12.89,37.16
viewer_5,webcam,upload (kbytes),0.80,0.00,0.22,130.12,16.61,2.69,2.73,2.10,0.74
viewer_5,screen,upload (kbytes),0.64,0.00,0.00,10.86,27.63,4.27,1.95,1.07,1.33
viewer_6,webcam,download (kbytes),0.00,0.00,0.00,249.54,587.36,173.44,19.30,37.46,26.80
viewer_6,screen,download (kbytes),0.00,0.00,0.12,226.82,497.91,193.81,22.23,15.97,19.10
viewer_6,webcam,upload (kbytes),0.82,0.18,0.00,121.40,28.67,3.33,2.65,4.38,0.71
viewer_6,screen,upload (kbytes),0.21,0.00,0.00,14.41,32.45,3.19,1.98,1.12,0.96
viewer_7,webcam,download (kbytes),0.00,0.00,0.00,181.68,527.45,131.87,19.29,34.90,24.70
viewer_7,screen,download (kbytes),0.00,0.00,0.00,219.40,445.69,165.31,21.48,21.79,46.34
viewer_7,webcam,upload (kbytes),0.21,0.00,0.11,61.83,26.34,3.33,2.58,4.42,0.59
viewer_7,screen,upload (kbytes),0.21,0.00,0.00,49.20,30.13,3.89,2.02,1.49,1.51
viewer_8,webcam,download (kbytes),0.00,0.10,0.00,191.94,415.50,125.55,19.31,32.42,25.45
viewer_8,screen,download (kbytes),0.00,0.00,0.00,223.01,525.00,166.32,21.06,20.56,39.95
viewer_8,webcam,upload (kbytes),0.90,0.10,0.00,85.50,21.81,3.37,2.63,4.26,0.71
viewer_8,screen,upload (kbytes),0.59,0.00,0.00,8.23,28.22,3.92,1.95,1.41,1.31
viewer_9,webcam,download (kbytes),0.00,0.10,4.22,162.26,497.18,125.50,19.14,36.47,26.45
viewer_9,screen,download (kbytes),0.00,0.00,0.00,207.85,514.92,165.33,21.19,25.00,17.12
viewer_9,webcam,upload (kbytes),0.89,0.00,0.28,42.19,319.75,3.10,2.60,10.06,0.85
viewer_9,screen,upload (kbytes),0.72,0.00,0.00,28.36,24.27,4.06,2.03,1.56,1.08
viewer_10,webcam,download (kbytes),0.00,0.00,0.50,179.88,469.76,127.17,19.22,34.88,26.06
viewer_10,screen,download (kbytes),0.00,0.00,0.00,189.96,527.42,180.08,19.68,13.31,35.52
viewer_10,webcam,upload (kbytes),0.21,0.10,0.00,5.69,23.90,2.88,2.57,4.35,0.69
viewer_10,screen,upload (kbytes),0.00,0.00,0.00,4.01,24.40,3.72,1.92,1.01,1.29
viewer_11,webcam,download (kbytes),0.00,0.00,0.00,8.21,551.14,4.41,0.98,33.25,1.22
viewer_11,screen,download (kbytes),0.00,0.00,0.00,167.01,568.80,131.71,18.96,29.83,46.36
viewer_11,webcam,upload (kbytes),0.00,0.07,0.00,1.31,28.60,1.83,0.14,4.35,0.26
viewer_11,screen,upload (kbytes),0.83,0.00,0.00,4.05,32.69,3.95,1.91,1.83,1.48
viewer_12,webcam,download (kbytes),5.55,0.00,0.00,207.57,572.62,4.89,20.48,33.04,1.20
viewer_12,screen,download (kbytes),0.00,0.00,0.27,235.80,557.76,127.69,17.49,29.73,30.02
viewer_12,webcam,upload (kbytes),1.07,0.00,0.00,115.35,28.64,2.10,2.74,4.19,0.48
viewer_12,screen,upload (kbytes),0.64,0.00,0.00,8.97,43.90,3.77,1.64,2.13,1.23
