user,media,type,gmeet_min,zoom_min,siruntu_min,gmeet_max,zoom_max,siruntu_max,gmeet_mean,zoom_mean,siruntu_mean
presenter,webcam,download (kbytes),0.67,0.00,0.00,54.93,24.68,8.23,2.66,7.10,0.47
presenter,screen,download (kbytes),0.00,0.00,0.00,36.09,365.61,11.85,2.18,1.60,0.48
presenter,webcam,upload (kbytes),11.53,0.00,2.22,124.60,201.96,321.36,35.02,39.29,30.33
presenter,screen,upload (kbytes),7.13,0.00,0.21,152.03,14.54,248.97,19.79,0.42,18.13
viewer_1,webcam,download (kbytes),0.00,0.00,0.00,202.14,224.81,233.46,32.22,26.34,24.55
viewer_1,screen,download (kbytes),0.00,0.00,0.00,149.68,976.01,259.63,17.07,9.26,15.78
viewer_1,webcam,upload (kbytes),1.13,0.10,0.11,20.57,15.96,2.47,2.39,3.66,0.54
viewer_1,screen,upload (kbytes),0.31,0.00,0.00,10.61,66.53,2.64,1.74,0.82,0.45
viewer_2,webcam,download (kbytes),0.00,0.00,0.00,162.45,280.66,190.22,28.33,31.99,23.11
viewer_2,screen,download (kbytes),0.00,0.00,0.00,159.70,89.88,265.62,17.19,0.53,16.01
viewer_2,webcam,upload (kbytes),0.00,0.00,0.11,6.24,35.45,2.59,2.59,3.62,0.54
viewer_2,screen,upload (kbytes),0.69,0.16,0.00,4.08,8.25,3.25,1.51,0.69,0.45
viewer_3,webcam,download (kbytes),1.64,0.31,0.00,154.41,217.06,74.42,30.29,25.99,22.25
viewer_3,screen,download (kbytes),0.00,0.00,0.00,195.11,963.48,496.85,16.38,35.91,15.56
viewer_3,webcam,upload (kbytes),1.08,0.10,0.00,17.95,14.40,3.01,2.47,3.62,0.43
viewer_3,screen,upload (kbytes),0.46,0.00,0.00,10.61,44.51,3.07,1.70,2.15,0.42
viewer_4,webcam,download (kbytes),9.16,0.31,0.00,128.51,189.04,214.96,26.80,32.42,23.27
viewer_4,screen,download (kbytes),0.12,0.00,0.00,190.35,624.14,262.16,11.37,4.81,17.02
viewer_4,webcam,upload (kbytes),1.35,0.39,0.00,6.03,19.08,6.89,2.25,4.20,0.58
viewer_4,screen,upload (kbytes),0.46,0.00,0.00,2.80,52.53,6.93,1.14,0.68,0.46
viewer_5,webcam,download (kbytes),11.61,0.60,0.00,121.82,194.24,185.09,24.70,33.14,21.57
viewer_5,screen,download (kbytes),0.12,0.00,0.00,117.24,678.95,334.42,11.34,2.16,19.23
viewer_5,webcam,upload (kbytes),1.38,0.30,0.11,5.17,16.47,2.55,2.26,4.25,0.55
viewer_5,screen,upload (kbytes),0.44,0.00,0.00,3.92,46.41,9.49,1.16,0.47,0.54
viewer_6,webcam,download (kbytes),11.03,0.14,0.00,113.55,191.87,255.11,21.65,33.76,26.29
viewer_6,screen,download (kbytes),0.12,0.00,0.00,190.41,511.34,97.38,11.21,2.16,13.33
viewer_6,webcam,upload (kbytes),1.26,0.00,0.00,5.06,12.33,4.40,2.24,4.30,0.50
viewer_6,screen,upload (kbytes),0.44,0.00,0.00,3.49,24.93,6.38,1.17,0.45,0.53
viewer_7,webcam,download (kbytes),4.60,0.00,0.00,153.81,252.09,278.15,23.70,27.02,20.87
viewer_7,screen,download (kbytes),0.00,0.00,0.00,191.67,1073.74,216.31,17.42,65.82,13.94
viewer_7,webcam,upload (kbytes),0.84,0.09,0.11,3.63,16.03,2.48,2.07,3.87,0.56
viewer_7,screen,upload (kbytes),0.41,0.00,0.00,4.27,49.67,2.48,1.35,3.67,0.47
viewer_8,webcam,download (kbytes),4.29,0.00,nan,145.16,161.29,nan,23.49,24.39,nan
viewer_8,screen,download (kbytes),0.00,0.00,0.00,166.01,350.12,182.11,17.34,5.72,14.24
viewer_8,webcam,upload (kbytes),0.98,0.10,nan,6.13,13.38,nan,2.27,3.57,nan
viewer_8,screen,upload (kbytes),0.46,0.00,0.00,8.41,16.29,4.37,1.78,0.62,0.49
viewer_9,webcam,download (kbytes),5.42,0.00,0.00,129.54,185.35,159.26,23.25,24.58,20.86
viewer_9,screen,download (kbytes),0.00,0.00,0.00,145.64,660.66,148.04,13.56,8.19,14.01
viewer_9,webcam,upload (kbytes),1.33,0.18,0.11,10.44,14.13,2.59,2.42,3.73,0.56
viewer_9,screen,upload (kbytes),0.44,0.00,0.00,8.37,31.47,2.65,1.79,0.74,0.47
viewer_10,webcam,download (kbytes),8.08,0.00,0.00,121.56,49.24,417.41,25.29,15.35,21.25
viewer_10,screen,download (kbytes),0.00,0.00,0.00,110.74,182.92,170.99,13.98,1.30,13.63
viewer_10,webcam,upload (kbytes),1.09,0.09,0.11,8.43,13.00,2.47,2.71,3.54,0.55
viewer_10,screen,upload (kbytes),0.53,0.00,0.11,9.17,11.69,2.59,1.87,0.44,0.48
