Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-15 15-28-26,Data transferred,,,,,,,71158,2494,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,29859,1905,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,1246,108,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,11693,1065,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,97998,4103,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,60292,1842,TCP
2023-02-15 15-28-26,Data transferred,9064,SeriousBit.NetBalancer.UI.exe,C:\Program Files\NetBalancer,185.197.161.81,443,Latvia,151,54,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,37582,1134,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,48180,1296,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,0,66,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,137148,5409,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,11844,324,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,129783,4519,TCP
2023-02-15 15-28-26,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-28-26,Data transferred,,,,,,,344,0,UDP
2023-02-15 15-28-25,Data transferred,,,,,,,104198,3132,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,43638,1374,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,31794,1084,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,8816,270,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,49962,1456,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,2606,658,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,88911,4326,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,99512,4047,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,137091,4144,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,69644,2508,TCP
2023-02-15 15-28-25,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-28-24,Data transferred,,,,,,,32886,1620,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,123880,3110,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,93456,3357,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,1574,108,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,104054,4073,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,96896,3072,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,31081,1026,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,76795,3313,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,28056,738,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,7149,793,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,40610,1308,TCP
2023-02-15 15-28-24,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-28-24,Data transferred,4,System,,,,,276,0,UDP
2023-02-15 15-28-24,Data transferred,,,,,,,684,0,UDP
2023-02-15 15-28-23,Data transferred,,,,,,,67862,1850,TCP
2023-02-15 15-28-23,Data transferred,,,,,,,4274,162,TCP
2023-02-15 15-28-23,Data transferred,,,,,,,13211,1233,TCP
2023-02-15 15-28-23,Data transferred,,,,,,,31379,1846,TCP
2023-02-15 15-28-23,Data transferred,,,,,,,106004,4429,TCP
2023-02-15 15-28-23,Data transferred,,,,,,,132964,4930,TCP
2023-02-15 15-28-23,Data transferred,,,,,,,92354,2616,TCP
2023-02-15 15-28-23,Data transferred,,,,,,,96481,3908,TCP
2023-02-15 15-28-23,Data transferred,,,,,,,94278,2136,TCP
2023-02-15 15-28-23,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-28-22,Data transferred,,,,,,,69229,3078,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,17900,624,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,96896,2094,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,16386,522,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,96568,2772,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,87544,2686,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,137084,4554,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,4127,658,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,16678,1413,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,93868,2718,TCP
2023-02-15 15-28-22,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-28-22,Data transferred,10524,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,264,0,UDP
2023-02-15 15-28-22,Data transferred,2492,svchost.exe,c:\windows\system32,,,,168,0,UDP
2023-02-15 15-28-22,Data transferred,10524,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,60,0,UDP
