Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-15 15-44-29,Data transferred,,,,,,,176,74,ICMP
2023-02-15 15-44-28,Data transferred,4340,AnyDeskMSI.exe,C:\Program Files (x86)\AnyDeskMSI,185.229.191.41,80,Netherlands,66,55,TCP
2023-02-15 15-44-28,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,172.217.194.94,443,United States,228,799,TCP
2023-02-15 15-44-28,Data transferred,8024,netcut_windows.exe,C:\Program Files (x86)\arcai.com,45.33.91.156,8443,United States,108,132,TCP
2023-02-15 15-44-28,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,74.125.200.94,443,United States,228,1051,TCP
2023-02-15 15-44-28,Data transferred,,,,,,,624,393,TCP
2023-02-15 15-44-28,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,74.125.200.94,443,United States,228,799,TCP
2023-02-15 15-44-28,Data transferred,8024,netcut_windows.exe,C:\Program Files (x86)\arcai.com,96.126.111.105,8443,United States,54,66,TCP
2023-02-15 15-44-28,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,172.217.194.94,443,United States,162,108,TCP
2023-02-15 15-44-28,Data transferred,,,,,,,678,393,TCP
2023-02-15 15-44-28,Data transferred,,,,,,,3796,0,TCP
2023-02-15 15-44-28,Data transferred,,,,,,,2591,391,UDP
2023-02-15 15-44-28,Data transferred,,,,,,,176,74,ICMP
2023-02-15 15-44-27,Data transferred,8024,netcut_windows.exe,C:\Program Files (x86)\arcai.com,96.126.111.105,8443,United States,108,132,TCP
2023-02-15 15-44-27,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,172.217.194.94,443,United States,66,691,TCP
2023-02-15 15-44-27,Data transferred,,,,,,,823,0,TCP
2023-02-15 15-44-27,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,,,,0,1292,UDP
2023-02-15 15-44-27,Data transferred,,,,,,,2024,142,UDP
2023-02-15 15-44-27,Data transferred,,,,,,,766,74,ICMP
2023-02-15 15-44-26,Data transferred,8024,netcut_windows.exe,C:\Program Files (x86)\arcai.com,50.116.51.33,8443,United States,54,66,TCP
2023-02-15 15-44-26,Data transferred,8024,netcut_windows.exe,C:\Program Files (x86)\arcai.com,96.126.111.105,8443,United States,108,132,TCP
2023-02-15 15-44-26,Data transferred,,,,,,,198,0,TCP
2023-02-15 15-44-26,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,,,,0,1292,UDP
2023-02-15 15-44-26,Data transferred,,,,,,,1292,0,UDP
2023-02-15 15-44-26,Data transferred,,,,,,,766,74,ICMP
2023-02-15 15-44-25,Data transferred,8024,netcut_windows.exe,C:\Program Files (x86)\arcai.com,50.116.51.33,8443,United States,108,132,TCP
2023-02-15 15-44-25,Data transferred,,,,,,,132,0,TCP
2023-02-15 15-44-25,Data transferred,,,,,,,176,74,ICMP
2023-02-15 15-44-24,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,172.253.118.94,443,United States,228,799,TCP
2023-02-15 15-44-24,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,35.201.74.77,443,United States,228,860,TCP
2023-02-15 15-44-24,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,35.201.74.77,443,United States,228,799,TCP
2023-02-15 15-44-24,Data transferred,8024,netcut_windows.exe,C:\Program Files (x86)\arcai.com,50.116.51.33,8443,United States,108,132,TCP
2023-02-15 15-44-24,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,172.253.118.94,443,United States,228,799,TCP
2023-02-15 15-44-24,Data transferred,,,,,,,3389,0,TCP
2023-02-15 15-44-24,Data transferred,9144,chrome.exe,C:\Program Files\Google\Chrome\Application,,,,0,2584,UDP
2023-02-15 15-44-24,Data transferred,,,,,,,5244,1602,UDP
2023-02-15 15-44-24,Data transferred,,,,,,,1946,74,ICMP
