Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-01-30 15-42-28,Data transferred,,,,,,,310,0,UDP
2023-01-30 15-42-28,Data transferred,,,,,,,0,836,UDP
2023-01-30 15-42-28,Data transferred,,,,,,,290,0,UDP
2023-01-30 15-42-28,Data transferred,,,,,,,0,816,UDP
2023-01-30 15-42-24,Data transferred,,,,,,,446,836,UDP
2023-01-30 15-42-24,Data transferred,,,,,,,0,836,UDP
2023-01-30 15-42-24,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.232.200,443,Australia,0,54,TCP
2023-01-30 15-42-24,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,104.212.67.120,443,United States,0,54,TCP
2023-01-30 15-42-24,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,104.212.67.120,443,United States,0,54,TCP
2023-01-30 15-42-24,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.237.29,80,Taiwan,0,54,TCP
2023-01-30 15-42-24,Data transferred,,,,,,,426,0,UDP
2023-01-30 15-42-24,Data transferred,,,,,,,0,2448,UDP
2023-01-30 15-42-24,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,104.212.67.120,443,United States,0,836,TCP
2023-01-30 15-42-23,Data transferred,,,,,,,446,0,UDP
2023-01-30 15-42-23,Data transferred,,,,,,,529,0,UDP
2023-01-30 15-42-22,Data transferred,,,,,,,998,0,UDP
2023-01-30 15-42-22,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,204.79.197.200,443,United States,0,54,TCP
2023-01-30 15-42-22,Data transferred,,,,,,,1124,0,UDP
2023-01-30 15-42-20,Data transferred,12224,backgroundTaskHost.exe,C:\WINDOWS\system32,204.79.197.200,443,United States,0,54,TCP
2023-01-30 15-42-20,Data transferred,6680,MicrosoftEdgeCP.exe,C:\Windows\System32,114.125.211.193,443,Indonesia,0,54,TCP
2023-01-30 15-42-20,Data transferred,6680,MicrosoftEdgeCP.exe,C:\Windows\System32,117.18.237.29,80,Taiwan,0,54,TCP
2023-01-30 15-42-20,Data transferred,6680,MicrosoftEdgeCP.exe,C:\Windows\System32,114.125.193.231,443,Indonesia,0,54,TCP
2023-01-30 15-42-18,Data transferred,13552,CCleaner64.exe,C:\Program Files\CCleaner,34.117.223.223,443,United States,6011,1509,TCP
2023-01-30 15-42-18,Data transferred,,,,,,,131,0,UDP
2023-01-30 15-42-18,Data transferred,,,,,,,0,164,UDP
2023-01-30 15-42-15,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.232.200,443,Australia,0,54,TCP
2023-01-30 15-42-15,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,104.212.67.120,443,United States,0,54,TCP
2023-01-30 15-42-15,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,104.212.67.120,443,United States,0,54,TCP
2023-01-30 15-42-15,Data transferred,1104,SearchUI.exe,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,117.18.237.29,80,Taiwan,0,54,TCP
