Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-15 15-42-19,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-18,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-17,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-17,Data transferred,,,,,,,60,0,IGMP
2023-02-15 15-42-17,Data transferred,,,,,,,342,0,UDP
2023-02-15 15-42-16,Data transferred,1512,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,172.217.194.188,5228,United States,66,55,TCP
2023-02-15 15-42-16,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-15,Data transferred,,,,,,,120,0,IGMP
2023-02-15 15-42-15,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-14,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-14,Data transferred,,,,,,,60,0,UDP
2023-02-15 15-42-14,Data transferred,,,,,,,60,0,IGMP
2023-02-15 15-42-14,Data transferred,,,,,,,60,0,UDP
2023-02-15 15-42-13,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-12,Data transferred,15876,SeriousBit.NetBalancer.UI.exe,C:\Program Files\NetBalancer,185.197.161.81,443,Latvia,151,108,TCP
2023-02-15 15-42-12,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-11,Data transferred,,,,,,,60,0,UDP
2023-02-15 15-42-11,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-15 15-42-11,Data transferred,,,,,,,684,0,UDP
2023-02-15 15-42-11,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-10,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-15 15-42-10,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-09,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-08,Data transferred,1512,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,144.126.243.118,8000,Singapore,66,55,TCP
2023-02-15 15-42-08,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-07,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-15 15-42-07,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-06,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-15 15-42-06,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-05,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,396,0,UDP
2023-02-15 15-42-05,Data transferred,,,,,,,684,0,UDP
2023-02-15 15-42-05,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-04,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-03,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,434,0,UDP
2023-02-15 15-42-03,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-02,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,396,0,UDP
2023-02-15 15-42-02,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-01,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-15 15-42-01,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-42-00,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-15 15-42-00,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-59,Data transferred,2184,svchost.exe,C:\WINDOWS\system32,,,,0,344,UDP
2023-02-15 15-41-59,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-15 15-41-59,Data transferred,,,,,,,740,0,UDP
2023-02-15 15-41-59,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-58,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-58,Data transferred,1512,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,987,278,UDP
2023-02-15 15-41-58,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,90,0,UDP
2023-02-15 15-41-58,Data transferred,,,,,,,409,0,UDP
2023-02-15 15-41-58,Data transferred,,,,,,,300,0,IGMP
2023-02-15 15-41-58,Data transferred,1512,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,876,238,UDP
2023-02-15 15-41-58,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-15 15-41-57,Data transferred,15876,SeriousBit.NetBalancer.UI.exe,C:\Program Files\NetBalancer,185.197.161.81,443,Latvia,731,278,TCP
2023-02-15 15-41-57,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-56,Data transferred,15876,SeriousBit.NetBalancer.UI.exe,C:\Program Files\NetBalancer,185.197.161.81,443,Latvia,4804,589,TCP
2023-02-15 15-41-56,Data transferred,,,,,,,316,0,IGMP
2023-02-15 15-41-56,Data transferred,,,,,,,523,75,UDP
2023-02-15 15-41-56,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-55,Data transferred,11388,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-41-55,Data transferred,,,,,,,398,0,UDP
2023-02-15 15-41-55,Data transferred,11388,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-41-55,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-54,Data transferred,11388,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-41-54,Data transferred,,,,,,,342,0,UDP
2023-02-15 15-41-54,Data transferred,11388,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-41-54,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-53,Data transferred,,,,,,,60,46,IGMP
2023-02-15 15-41-53,Data transferred,11388,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-41-53,Data transferred,11388,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,217,UDP
2023-02-15 15-41-53,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-52,Data transferred,,,,,,,116,0,IGMP
2023-02-15 15-41-52,Data transferred,,,,,,,740,217,UDP
2023-02-15 15-41-52,Data transferred,,,,,,,0,217,UDP
2023-02-15 15-41-52,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-51,Data transferred,,,,,,,344,0,UDP
2023-02-15 15-41-51,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-50,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-41-49,Data transferred,,,,,,,74,74,ICMP
