time,memory,cpu,app,media,user
01/02/2023 14:20:23,593192,24.9,zoom,webcam,viewer_10
01/02/2023 14:21:00,509428,12.4,zoom,webcam,viewer_10
01/02/2023 14:22:00,536548,7.7,zoom,webcam,viewer_10
01/02/2023 14:23:00,533728,12.4,zoom,webcam,viewer_10
01/02/2023 14:24:00,531928,9.3,zoom,webcam,viewer_10
01/02/2023 14:25:00,529284,18.6,zoom,webcam,viewer_10
01/02/2023 14:26:00,540096,10.8,zoom,webcam,viewer_10
01/02/2023 14:27:00,535488,10.9,zoom,webcam,viewer_10
01/02/2023 14:28:00,533180,4.6,zoom,webcam,viewer_10
01/02/2023 14:29:00,529360,4.7,zoom,webcam,viewer_10
01/02/2023 14:30:00,536600,14.0,zoom,webcam,viewer_10
01/02/2023 14:31:00,528512,18.6,zoom,webcam,viewer_10
01/02/2023 14:32:00,534672,15.5,zoom,webcam,viewer_10
01/02/2023 14:33:00,529840,3.1,zoom,webcam,viewer_10
01/02/2023 14:34:00,535476,7.8,zoom,webcam,viewer_10
01/02/2023 14:35:00,533712,12.4,zoom,webcam,viewer_10
01/02/2023 14:36:00,535524,9.3,zoom,webcam,viewer_10
01/02/2023 14:37:39,549148,0.0,zoom,webcam,viewer_10
01/02/2023 14:50:11,234540,6.2,zoom,screen,viewer_10
01/02/2023 14:51:00,480720,3.1,zoom,screen,viewer_10
01/02/2023 14:52:00,492604,10.8,zoom,screen,viewer_10
01/02/2023 14:53:00,498128,12.4,zoom,screen,viewer_10
01/02/2023 14:54:00,499380,24.7,zoom,screen,viewer_10
01/02/2023 14:55:00,501732,6.2,zoom,screen,viewer_10
01/02/2023 14:56:00,495280,12.4,zoom,screen,viewer_10
01/02/2023 14:57:00,497592,7.8,zoom,screen,viewer_10
01/02/2023 14:58:00,499532,9.3,zoom,screen,viewer_10
01/02/2023 14:59:00,491884,6.2,zoom,screen,viewer_10
01/02/2023 15:00:00,495316,7.8,zoom,screen,viewer_10
01/02/2023 15:01:00,487368,1.5,zoom,screen,viewer_10
01/02/2023 15:02:00,488036,10.9,zoom,screen,viewer_10
01/02/2023 15:03:00,475504,12.4,zoom,screen,viewer_10
01/02/2023 15:04:00,530356,9.3,zoom,screen,viewer_10
01/02/2023 15:05:00,629772,7.8,zoom,screen,viewer_10
01/02/2023 15:06:51,549072,0.0,zoom,screen,viewer_10
