time,memory,cpu,app,media,user
30/01/2023 14:14:42,143844,85.8,gmeet,webcam,viewer_7
30/01/2023 14:15:00,116312,10.8,gmeet,webcam,viewer_7
30/01/2023 14:16:00,132128,14.0,gmeet,webcam,viewer_7
30/01/2023 14:17:00,135616,26.4,gmeet,webcam,viewer_7
30/01/2023 14:18:00,130768,12.4,gmeet,webcam,viewer_7
30/01/2023 14:19:00,133736,9.3,gmeet,webcam,viewer_7
30/01/2023 14:20:00,134468,12.4,gmeet,webcam,viewer_7
30/01/2023 14:21:00,139232,18.6,gmeet,webcam,viewer_7
30/01/2023 14:22:00,140248,9.3,gmeet,webcam,viewer_7
30/01/2023 14:23:00,132060,15.5,gmeet,webcam,viewer_7
30/01/2023 14:24:00,132200,12.4,gmeet,webcam,viewer_7
30/01/2023 14:25:00,128736,10.9,gmeet,webcam,viewer_7
30/01/2023 14:26:00,129624,7.7,gmeet,webcam,viewer_7
30/01/2023 14:27:00,134352,9.3,gmeet,webcam,viewer_7
30/01/2023 14:28:00,140160,21.7,gmeet,webcam,viewer_7
30/01/2023 14:29:00,129928,20.3,gmeet,webcam,viewer_7
30/01/2023 14:30:00,128356,15.5,gmeet,webcam,viewer_7
30/01/2023 14:31:00,138440,20.2,gmeet,webcam,viewer_7
30/01/2023 14:32:59,137912,15.5,gmeet,webcam,viewer_7
30/01/2023 14:46:12,150884,26.5,gmeet,screen,viewer_7
30/01/2023 14:47:00,142268,13.9,gmeet,screen,viewer_7
30/01/2023 14:48:00,155096,7.8,gmeet,screen,viewer_7
30/01/2023 14:49:00,154176,17.1,gmeet,screen,viewer_7
30/01/2023 14:50:00,144292,17.1,gmeet,screen,viewer_7
30/01/2023 14:51:00,147344,12.4,gmeet,screen,viewer_7
30/01/2023 14:52:00,152992,7.8,gmeet,screen,viewer_7
30/01/2023 14:53:00,159476,23.3,gmeet,screen,viewer_7
30/01/2023 14:54:00,171736,17.0,gmeet,screen,viewer_7
30/01/2023 14:55:00,157464,14.0,gmeet,screen,viewer_7
30/01/2023 14:56:00,148776,6.2,gmeet,screen,viewer_7
30/01/2023 14:57:00,154152,15.5,gmeet,screen,viewer_7
30/01/2023 14:58:00,162616,9.3,gmeet,screen,viewer_7
30/01/2023 14:59:00,164708,4.6,gmeet,screen,viewer_7
30/01/2023 15:00:00,165220,9.3,gmeet,screen,viewer_7
30/01/2023 15:01:00,159920,12.4,gmeet,screen,viewer_7
30/01/2023 15:02:00,159384,15.5,gmeet,screen,viewer_7
30/01/2023 15:03:00,172036,10.8,gmeet,screen,viewer_7
30/01/2023 15:04:00,169088,15.5,gmeet,screen,viewer_7
30/01/2023 15:05:00,169520,15.5,gmeet,screen,viewer_7
30/01/2023 15:06:35,163136,17.0,gmeet,screen,viewer_7
