time,memory,cpu,app,media,user
15/02/2023 14:20:14,68444,40.0,siruntu,webcam,presenter
15/02/2023 14:21:00,71396,81.9,siruntu,webcam,presenter
15/02/2023 14:22:00,69652,51.2,siruntu,webcam,presenter
15/02/2023 14:23:00,74776,78.8,siruntu,webcam,presenter
15/02/2023 14:24:00,77132,72.9,siruntu,webcam,presenter
15/02/2023 14:25:00,82016,64.0,siruntu,webcam,presenter
15/02/2023 14:26:00,81332,62.4,siruntu,webcam,presenter
15/02/2023 14:27:00,82448,72.3,siruntu,webcam,presenter
15/02/2023 14:28:00,78748,71.0,siruntu,webcam,presenter
15/02/2023 14:29:00,81316,60.7,siruntu,webcam,presenter
15/02/2023 14:30:00,81900,56.8,siruntu,webcam,presenter
15/02/2023 14:31:00,90660,75.0,siruntu,webcam,presenter
15/02/2023 14:32:00,80232,52.3,siruntu,webcam,presenter
15/02/2023 14:33:00,74084,46.5,siruntu,webcam,presenter
15/02/2023 14:34:00,76404,40.7,siruntu,webcam,presenter
15/02/2023 14:35:00,78180,37.7,siruntu,webcam,presenter
15/02/2023 14:36:00,73388,66.6,siruntu,webcam,presenter
15/02/2023 14:37:00,73560,45.4,siruntu,webcam,presenter
15/02/2023 14:38:00,75776,38.9,siruntu,webcam,presenter
15/02/2023 14:39:00,72816,37.3,siruntu,webcam,presenter
15/02/2023 14:40:00,73168,33.0,siruntu,webcam,presenter
15/02/2023 14:41:00,74664,43.4,siruntu,webcam,presenter
15/02/2023 14:42:00,76256,57.9,siruntu,webcam,presenter
15/02/2023 14:43:00,73264,40.0,siruntu,webcam,presenter
15/02/2023 14:44:00,79356,63.4,siruntu,webcam,presenter
15/02/2023 14:45:00,74612,47.2,siruntu,webcam,presenter
15/02/2023 14:46:00,83400,40.6,siruntu,webcam,presenter
15/02/2023 14:47:00,72472,32.8,siruntu,webcam,presenter
15/02/2023 14:48:00,73388,36.6,siruntu,webcam,presenter
15/02/2023 14:50:30,51640,6.2,siruntu,screen,presenter
15/02/2023 14:51:00,112928,75.0,siruntu,screen,presenter
15/02/2023 14:52:00,115264,28.1,siruntu,screen,presenter
15/02/2023 14:53:00,117048,53.0,siruntu,screen,presenter
15/02/2023 14:54:00,120984,98.3,siruntu,screen,presenter
15/02/2023 14:55:00,119676,23.4,siruntu,screen,presenter
15/02/2023 14:56:00,121544,29.6,siruntu,screen,presenter
15/02/2023 14:57:00,123896,32.7,siruntu,screen,presenter
15/02/2023 14:58:00,125216,12.5,siruntu,screen,presenter
15/02/2023 14:59:00,122412,17.2,siruntu,screen,presenter
15/02/2023 15:00:00,128282,35.6,siruntu,screen,presenter
15/02/2023 15:01:00,124084,29.7,siruntu,screen,presenter
15/02/2023 15:02:00,121472,26.8,siruntu,screen,presenter
15/02/2023 15:03:00,121800,37.4,siruntu,screen,presenter
15/02/2023 15:04:00,123656,23.4,siruntu,screen,presenter
15/02/2023 15:05:00,124860,39.0,siruntu,screen,presenter
15/02/2023 15:06:00,121834,38.9,siruntu,screen,presenter
15/02/2023 15:07:00,121680,17.0,siruntu,screen,presenter
15/02/2023 15:08:00,122556,32.8,siruntu,screen,presenter
15/02/2023 15:09:00,124660,25.0,siruntu,screen,presenter
15/02/2023 15:10:00,121532,21.8,siruntu,screen,presenter
15/02/2023 15:11:00,121936,23.4,siruntu,screen,presenter
15/02/2023 15:12:00,123658,32.7,siruntu,screen,presenter
15/02/2023 15:13:00,120744,14.1,siruntu,screen,presenter
15/02/2023 15:14:00,120844,23.5,siruntu,screen,presenter
15/02/2023 15:15:00,122740,23.4,siruntu,screen,presenter
15/02/2023 15:16:00,124360,20.3,siruntu,screen,presenter
15/02/2023 15:17:00,121292,23.4,siruntu,screen,presenter
15/02/2023 15:18:00,121744,23.5,siruntu,screen,presenter
15/02/2023 15:19:00,122920,39.0,siruntu,screen,presenter
15/02/2023 15:20:15,120708,35.4,siruntu,screen,presenter
