time,memory,cpu,download (bytes),upload (bytes),app,media,user,download,upload,download (unit),upload (unit)
15/02/2023 14:20:14,30740,0.01,"152,5","467,5",siruntu,webcam,server,"1,22","3,74",k,k
15/02/2023 14:21:00,35030,1.68,"21672,5",22355,siruntu,webcam,server,"173,38","178,84",k,k
15/02/2023 14:22:00,36260,2.59,"55373,75","62401,25",siruntu,webcam,server,"442,99","499,21",k,k
15/02/2023 14:23:00,39680,3.04,"45398,75",176250,siruntu,webcam,server,"363,19",1410,k,k
15/02/2023 14:24:00,40890,3.19,"22688,75","63062,5",siruntu,webcam,server,"181,51","504,5",k,k
15/02/2023 14:25:00,41910,3.49,"26542,5","66231,25",siruntu,webcam,server,"212,34","529,85",k,k
15/02/2023 14:26:00,44260,3.85,"20488,75",72395,siruntu,webcam,server,"163,91","579,16",k,k
15/02/2023 14:27:00,47520,4.01,"31392,5",207500,siruntu,webcam,server,"251,14",1660,k,k
15/02/2023 14:28:00,51430,5.54,39830,227500,siruntu,webcam,server,"318,64",1820,k,k
15/02/2023 14:29:00,54120,5.40,"25641,25",150000,siruntu,webcam,server,"205,13",1200,k,k
15/02/2023 14:30:00,56620,6.51,"25431,25",162500,siruntu,webcam,server,"203,45",1300,k,k
15/02/2023 14:31:00,59930,7.27,23790,150000,siruntu,webcam,server,"190,32",1200,k,k
15/02/2023 14:32:00,60410,6.67,"25782,5",188750,siruntu,webcam,server,"206,26",1510,k,k
15/02/2023 14:33:00,63020,8.56,"26881,25",216250,siruntu,webcam,server,"215,05",1730,k,k
15/02/2023 14:34:00,65950,8.38,"27613,75",246250,siruntu,webcam,server,"220,91","1,97",k,m
15/02/2023 14:35:00,67940,8.37,"27973,75",256250,siruntu,webcam,server,"223,79","2,05",k,m
15/02/2023 14:36:00,70860,10.54,"30073,75",288750,siruntu,webcam,server,"240,59","2,31",k,m
15/02/2023 14:37:00,72800,10.35,"30302,5",306250,siruntu,webcam,server,"242,42","2,45",k,m
15/02/2023 14:38:00,75200,10.97,"29992,5",301250,siruntu,webcam,server,"239,94","2,41",k,m
15/02/2023 14:39:00,75550,10.44,"30897,5",336250,siruntu,webcam,server,"247,18","2,69",k,m
15/02/2023 14:40:00,76560,10.48,"29687,5",313750,siruntu,webcam,server,"237,5","2,51",k,m
15/02/2023 14:41:00,76520,11.02,33085,372500,siruntu,webcam,server,"264,68","2,98",k,m
15/02/2023 14:42:00,79730,11.06,"32727,5",356250,siruntu,webcam,server,"261,82","2,85",k,m
15/02/2023 14:43:00,84440,9.32,"31233,75",326250,siruntu,webcam,server,"249,87","2,61",k,m
15/02/2023 14:44:00,86000,12.43,61650,1130000,siruntu,webcam,server,"493,2","9,04",k,m
15/02/2023 14:45:00,85860,11.11,"31882,5",340000,siruntu,webcam,server,"255,06","2,72",k,m
15/02/2023 14:46:00,86180,12.01,"31038,75",308750,siruntu,webcam,server,"248,31","2,47",k,m
15/02/2023 14:47:00,86250,11.01,"39732,5",461250,siruntu,webcam,server,"317,86","3,69",k,m
15/02/2023 14:48:00,86410,11.24,"31426,25",340000,siruntu,webcam,server,"251,41","2,72",k,m
15/02/2023 14:50:30,79750,2.57,"23903,75",26460,siruntu,screen,server,"191,23","211,68",k,k
15/02/2023 14:51:00,79710,0.78,"17172,5","2308,75",siruntu,screen,server,"137,38","18,47",k,k
15/02/2023 14:52:00,80110,0.58,14760,23490,siruntu,screen,server,"118,08","187,92",k,k
15/02/2023 14:53:00,81190,1.33,"19177,5","49748,75",siruntu,screen,server,"153,42","397,99",k,k
15/02/2023 14:54:00,82020,2.27,36335,162500,siruntu,screen,server,"290,68","1,3",k,m
15/02/2023 14:55:00,83680,1.14,"25351,25","56951,25",siruntu,screen,server,"202,81","455,61",k,k
15/02/2023 14:56:00,84860,3.78,27575,"68812,5",siruntu,screen,server,"220,6","550,5",k,k
15/02/2023 14:57:00,86380,3.84,"24272,5","26797,5",siruntu,screen,server,"194,18","214,38",k,k
15/02/2023 14:58:00,88010,7.58,45930,1528750,siruntu,screen,server,"367,44","12,23",k,m
15/02/2023 14:59:00,89760,4.48,25940,993750,siruntu,screen,server,"207,52","7,95",k,m
15/02/2023 15:00:00,91530,11.14,"38218,75",4068750,siruntu,screen,server,"305,75","32,55",k,m
15/02/2023 15:01:00,92930,7.35,"35172,5",3551250,siruntu,screen,server,"281,38","28,41",k,m
15/02/2023 15:02:00,94020,20.87,"48476,25",8187500,siruntu,screen,server,"387,81","65,5",k,m
15/02/2023 15:03:00,96290,19.08,"41792,5",6406250,siruntu,screen,server,"334,34","51,25",k,m
15/02/2023 15:04:00,97930,10.39,"42912,5",5908750,siruntu,screen,server,"343,3","47,27",k,m
15/02/2023 15:05:00,99640,28.84,"53182,5",9595000,siruntu,screen,server,"425,46","76,76",k,m
15/02/2023 15:06:00,101700,20.07,"40567,5",4408750,siruntu,screen,server,"324,54","35,27",k,m
15/02/2023 15:07:00,101600,34.15,"53498,75",10433750,siruntu,screen,server,"427,99","83,47",k,m
15/02/2023 15:08:00,102000,23.63,56025,9103750,siruntu,screen,server,"448,2","72,83",k,m
15/02/2023 15:09:00,101800,20.97,"48446,25",6700000,siruntu,screen,server,"387,57","53,6",k,m
15/02/2023 15:10:00,102000,34.69,54935,8235000,siruntu,screen,server,"439,48","65,88",k,m
15/02/2023 15:11:00,102200,38.56,62030,11445000,siruntu,screen,server,"496,24","91,56",k,m
15/02/2023 15:12:00,102100,16.99,"34612,5",6405000,siruntu,screen,server,"276,9","51,24",k,m
15/02/2023 15:13:00,102100,26.24,40390,6772500,siruntu,screen,server,"323,12","54,18",k,m
15/02/2023 15:14:00,102400,23.85,53500,7431250,siruntu,screen,server,428,"59,45",k,m
15/02/2023 15:15:00,102300,40.95,"53193,75",8227500,siruntu,screen,server,"425,55","65,82",k,m
15/02/2023 15:16:00,104100,21.48,"37498,75",9543750,siruntu,screen,server,"299,99","76,35",k,m
15/02/2023 15:17:00,103600,25.84,"53777,5",8917500,siruntu,screen,server,"430,22","71,34",k,m
