time,memory,cpu,app,media,user
01/02/2023 14:22:01,492804,32.8,zoom,webcam,viewer_11
01/02/2023 14:23:00,473168,12.4,zoom,webcam,viewer_11
01/02/2023 14:24:00,485204,7.8,zoom,webcam,viewer_11
01/02/2023 14:25:00,492732,7.8,zoom,webcam,viewer_11
01/02/2023 14:26:00,491852,9.3,zoom,webcam,viewer_11
01/02/2023 14:27:00,500176,9.3,zoom,webcam,viewer_11
01/02/2023 14:28:00,545288,18.6,zoom,webcam,viewer_11
01/02/2023 14:29:00,538524,15.5,zoom,webcam,viewer_11
01/02/2023 14:30:00,546740,9.3,zoom,webcam,viewer_11
01/02/2023 14:31:00,530860,18.6,zoom,webcam,viewer_11
01/02/2023 14:32:00,541956,9.3,zoom,webcam,viewer_11
01/02/2023 14:33:00,535164,18.6,zoom,webcam,viewer_11
01/02/2023 14:34:00,536448,15.5,zoom,webcam,viewer_11
01/02/2023 14:35:00,534224,17.0,zoom,webcam,viewer_11
01/02/2023 14:36:00,535408,9.3,zoom,webcam,viewer_11
01/02/2023 14:37:39,467152,0.0,zoom,webcam,viewer_11
01/02/2023 14:51:22,537388,99.2,zoom,screen,viewer_11
01/02/2023 14:52:00,469840,9.3,zoom,screen,viewer_11
01/02/2023 14:53:00,483982,12.4,zoom,screen,viewer_11
01/02/2023 14:54:00,488992,13.9,zoom,screen,viewer_11
01/02/2023 14:55:00,490888,13.9,zoom,screen,viewer_11
01/02/2023 14:56:00,494564,7.7,zoom,screen,viewer_11
01/02/2023 14:57:00,467988,6.2,zoom,screen,viewer_11
01/02/2023 14:58:00,388872,13.9,zoom,screen,viewer_11
01/02/2023 14:59:00,484824,12.4,zoom,screen,viewer_11
01/02/2023 15:00:00,485172,3.1,zoom,screen,viewer_11
01/02/2023 15:01:00,486264,12.4,zoom,screen,viewer_11
01/02/2023 15:02:00,478500,13.9,zoom,screen,viewer_11
01/02/2023 15:03:00,480068,62.1,zoom,screen,viewer_11
01/02/2023 15:04:00,508608,15.5,zoom,screen,viewer_11
01/02/2023 15:05:00,613404,26.4,zoom,screen,viewer_11
01/02/2023 15:06:51,569584,1.6,zoom,screen,viewer_11
