time,memory,cpu,app,media,user
30/01/2023 14:22:17,159488,68.8,gmeet,webcam,viewer_15
30/01/2023 14:23:00,153276,14.1,gmeet,webcam,viewer_15
30/01/2023 14:24:00,157996,12.5,gmeet,webcam,viewer_15
30/01/2023 14:25:00,156942,28.1,gmeet,webcam,viewer_15
30/01/2023 14:26:00,149800,12.5,gmeet,webcam,viewer_15
30/01/2023 14:27:00,152348,18.8,gmeet,webcam,viewer_15
30/01/2023 14:28:00,154228,14.0,gmeet,webcam,viewer_15
30/01/2023 14:29:00,156740,10.9,gmeet,webcam,viewer_15
30/01/2023 14:30:00,162324,10.9,gmeet,webcam,viewer_15
30/01/2023 14:31:00,166864,21.8,gmeet,webcam,viewer_15
30/01/2023 14:32:59,114308,15.6,gmeet,webcam,viewer_15
30/01/2023 14:56:11,170696,78.1,gmeet,screen,viewer_15
30/01/2023 14:57:00,157152,10.9,gmeet,screen,viewer_15
30/01/2023 14:58:00,167408,12.5,gmeet,screen,viewer_15
30/01/2023 14:59:00,178188,9.4,gmeet,screen,viewer_15
30/01/2023 15:00:00,179756,9.4,gmeet,screen,viewer_15
30/01/2023 15:01:00,159804,15.6,gmeet,screen,viewer_15
30/01/2023 15:02:00,167856,14.0,gmeet,screen,viewer_15
30/01/2023 15:03:00,170568,7.8,gmeet,screen,viewer_15
30/01/2023 15:04:00,180960,7.8,gmeet,screen,viewer_15
30/01/2023 15:05:00,178624,6.2,gmeet,screen,viewer_15
30/01/2023 15:06:35,168152,17.2,gmeet,screen,viewer_15
