Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-15 15-22-53,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,358,0,UDP
2023-02-15 15-22-53,Data transferred,,,,,,,684,0,UDP
2023-02-15 15-22-53,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-52,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-51,Data transferred,,,,,,,0,157,IGMP
2023-02-15 15-22-51,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-15 15-22-51,Data transferred,,,,,,,344,0,UDP
2023-02-15 15-22-51,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-50,Data transferred,,,,,,,95,0,IGMP
2023-02-15 15-22-50,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,95,0,UDP
2023-02-15 15-22-50,Data transferred,,,,,,,240,0,IGMP
2023-02-15 15-22-50,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,396,0,UDP
2023-02-15 15-22-50,Data transferred,2660,svchost.exe,C:\WINDOWS\system32,,,,150,0,UDP
2023-02-15 15-22-50,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-49,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-49,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,396,0,UDP
2023-02-15 15-22-49,Data transferred,,,,,,,686,0,UDP
2023-02-15 15-22-48,Data transferred,,,,,,,60,42,IGMP
2023-02-15 15-22-48,Data transferred,,,,,,,216,0,IGMP
2023-02-15 15-22-48,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-47,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-15 15-22-47,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-46,Data transferred,,,,,,,0,157,UDP
2023-02-15 15-22-46,Data transferred,,,,,,,301,0,UDP
2023-02-15 15-22-46,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-15 15-22-46,Data transferred,,,,,,,686,0,UDP
2023-02-15 15-22-46,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-45,Data transferred,,,,,,,0,157,UDP
2023-02-15 15-22-45,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-15 15-22-45,Data transferred,4,System,,,,,0,92,UDP
2023-02-15 15-22-45,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-44,Data transferred,,,,,,,0,157,UDP
2023-02-15 15-22-44,Data transferred,,,,,,,740,0,UDP
2023-02-15 15-22-44,Data transferred,9336,svchost.exe,C:\WINDOWS\system32,10.163.10.110,80,,120,108,TCP
2023-02-15 15-22-44,Data transferred,,,,,,,54,0,IGMP
2023-02-15 15-22-44,Data transferred,4,System,,,,,0,92,UDP
2023-02-15 15-22-44,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-43,Data transferred,4,System,,,,,0,92,UDP
2023-02-15 15-22-43,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-15 15-22-43,Data transferred,1388,svchost.exe,C:\WINDOWS\system32,,,,0,344,UDP
2023-02-15 15-22-43,Data transferred,,,,,,,686,0,UDP
2023-02-15 15-22-42,Data transferred,5232,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,74.125.24.113,443,United States,60,108,TCP
2023-02-15 15-22-42,Data transferred,,,,,,,54,0,IGMP
2023-02-15 15-22-42,Data transferred,4,System,,,,,0,92,UDP
2023-02-15 15-22-42,Data transferred,5232,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,1292,UDP
2023-02-15 15-22-42,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-41,Data transferred,5232,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,1292,UDP
2023-02-15 15-22-41,Data transferred,,,,,,,148,148,ICMP
2023-02-15 15-22-41,Data transferred,4,System,,,,,0,92,UDP
2023-02-15 15-22-41,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-15 15-22-41,Data transferred,,,,,,,740,0,UDP
2023-02-15 15-22-40,Data transferred,4,System,,,,,0,92,UDP
2023-02-15 15-22-40,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,217,0,UDP
2023-02-15 15-22-40,Data transferred,,,,,,,344,0,UDP
2023-02-15 15-22-40,Data transferred,,,,,,,54,0,IGMP
2023-02-15 15-22-40,Data transferred,5232,chrome.exe,C:\Program Files (x86)\Google\Chrome\Application,,,,0,1292,UDP
2023-02-15 15-22-40,Data transferred,,,,,,,74,74,ICMP
2023-02-15 15-22-39,Data transferred,1608,svchost.exe,C:\WINDOWS\system32,,,,396,0,UDP
