Time,Event,Pid,File,Directory,IP,Port,Country,Download (bytes),Upload (bytes),Protocol
2023-02-01 15-10-59,Data transferred,,,,,,,0,66,TCP
2023-02-01 15-10-59,Data transferred,2336,svchost.exe,C:\WINDOWS\system32,,,,42,0,UDP
2023-02-01 15-10-59,Data transferred,,,,,,,60,0,UDP
2023-02-01 15-10-58,Data transferred,2336,svchost.exe,C:\WINDOWS\system32,,,,605,0,UDP
2023-02-01 15-10-58,Data transferred,2336,svchost.exe,C:\WINDOWS\system32,,,,42,42,UDP
2023-02-01 15-10-58,Data transferred,2336,svchost.exe,C:\WINDOWS\system32,,,,585,0,UDP
2023-02-01 15-10-58,Data transferred,,,,,,,342,0,UDP
2023-02-01 15-10-56,Data transferred,,,,,,,60,0,UDP
2023-02-01 15-10-55,Data transferred,,,,,,,86,86,UDP
2023-02-01 15-10-55,Data transferred,,,,,,,342,0,UDP
2023-02-01 15-10-54,Data transferred,,,,,,,0,66,TCP
2023-02-01 15-10-51,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-10-51,Data transferred,,,,,,,344,0,UDP
2023-02-01 15-10-51,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-10-49,Data transferred,4172,svchost.exe,C:\WINDOWS\system32,,,,836,835,UDP
2023-02-01 15-10-49,Data transferred,,,,,,,0,66,TCP
2023-02-01 15-10-49,Data transferred,4172,svchost.exe,C:\WINDOWS\system32,,,,816,0,UDP
2023-02-01 15-10-49,Data transferred,4172,svchost.exe,C:\WINDOWS\system32,,,,0,815,UDP
2023-02-01 15-10-48,Data transferred,,,,,,,86,86,IGMP
2023-02-01 15-10-48,Data transferred,,,,,,,60,0,IGMP
2023-02-01 15-10-48,Data transferred,4172,svchost.exe,C:\WINDOWS\system32,,,,0,42,UDP
2023-02-01 15-10-48,Data transferred,4172,svchost.exe,C:\WINDOWS\system32,,,,0,815,UDP
2023-02-01 15-10-46,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,0,835,UDP
2023-02-01 15-10-46,Data transferred,4172,svchost.exe,C:\WINDOWS\system32,,,,0,1670,UDP
2023-02-01 15-10-46,Data transferred,,,,,,,0,835,UDP
2023-02-01 15-10-46,Data transferred,4172,svchost.exe,C:\WINDOWS\system32,,,,301,0,UDP
2023-02-01 15-10-46,Data transferred,4172,svchost.exe,C:\WINDOWS\system32,,,,60,0,UDP
2023-02-01 15-10-46,Data transferred,8256,svchost.exe,C:\WINDOWS\system32,,,,179,0,UDP
2023-02-01 15-10-46,Data transferred,4172,svchost.exe,C:\WINDOWS\system32,,,,0,2445,UDP
