time,memory,cpu,app,media,user
30/01/2023 14:20:15,139736,25.9,gmeet,webcam,viewer_13
30/01/2023 14:21:00,119792,6.2,gmeet,webcam,viewer_13
30/01/2023 14:22:00,125004,9.3,gmeet,webcam,viewer_13
30/01/2023 14:23:00,129736,20.2,gmeet,webcam,viewer_13
30/01/2023 14:24:00,139412,10.9,gmeet,webcam,viewer_13
30/01/2023 14:25:00,127208,12.0,gmeet,webcam,viewer_13
30/01/2023 14:26:00,130180,6.2,gmeet,webcam,viewer_13
30/01/2023 14:27:00,131244,14.0,gmeet,webcam,viewer_13
30/01/2023 14:28:00,135732,10.9,gmeet,webcam,viewer_13
30/01/2023 14:29:00,146468,12.4,gmeet,webcam,viewer_13
30/01/2023 14:30:00,127092,20.2,gmeet,webcam,viewer_13
30/01/2023 14:31:00,125968,18.6,gmeet,webcam,viewer_13
30/01/2023 14:32:59,139044,15.5,gmeet,webcam,viewer_13
30/01/2023 14:54:11,166036,15.5,gmeet,screen,viewer_13
30/01/2023 14:55:00,149460,4.7,gmeet,screen,viewer_13
30/01/2023 14:56:00,154168,9.3,gmeet,screen,viewer_13
30/01/2023 14:57:00,163180,15.5,gmeet,screen,viewer_13
30/01/2023 14:58:00,148160,26.4,gmeet,screen,viewer_13
30/01/2023 14:59:00,153904,4.7,gmeet,screen,viewer_13
30/01/2023 15:00:00,153120,9.3,gmeet,screen,viewer_13
30/01/2023 15:01:00,160944,4.6,gmeet,screen,viewer_13
30/01/2023 15:02:00,159128,4.6,gmeet,screen,viewer_13
30/01/2023 15:03:00,164448,24.8,gmeet,screen,viewer_13
30/01/2023 15:04:00,152056,6.2,gmeet,screen,viewer_13
30/01/2023 15:05:00,155324,9.3,gmeet,screen,viewer_13
30/01/2023 15:06:35,163836,7.7,gmeet,screen,viewer_13
