time,memory,cpu,app,media,user
15/02/2023 14:26:14,38000,4.6,siruntu,webcam,viewer_5
15/02/2023 14:27:00,38004,4.7,siruntu,webcam,viewer_5
15/02/2023 14:28:00,35668,4.6,siruntu,webcam,viewer_5
15/02/2023 14:29:00,35480,4.6,siruntu,webcam,viewer_5
15/02/2023 14:30:00,36024,6.2,siruntu,webcam,viewer_5
15/02/2023 14:31:00,37572,9.3,siruntu,webcam,viewer_5
15/02/2023 14:32:00,36000,7.8,siruntu,webcam,viewer_5
15/02/2023 14:33:00,34788,6.2,siruntu,webcam,viewer_5
15/02/2023 14:34:00,35756,9.3,siruntu,webcam,viewer_5
15/02/2023 14:35:00,35792,6.2,siruntu,webcam,viewer_5
15/02/2023 14:36:00,35796,4.6,siruntu,webcam,viewer_5
15/02/2023 14:37:00,36236,7.8,siruntu,webcam,viewer_5
15/02/2023 14:38:00,36320,18.6,siruntu,webcam,viewer_5
15/02/2023 14:39:00,36716,7.7,siruntu,webcam,viewer_5
15/02/2023 14:40:00,36386,6.2,siruntu,webcam,viewer_5
15/02/2023 14:41:00,36800,10.9,siruntu,webcam,viewer_5
15/02/2023 14:42:00,36832,7.8,siruntu,webcam,viewer_5
15/02/2023 14:43:00,37396,14.0,siruntu,webcam,viewer_5
15/02/2023 14:44:00,37400,14.0,siruntu,webcam,viewer_5
15/02/2023 14:45:00,36836,15.5,siruntu,webcam,viewer_5
15/02/2023 14:46:00,39104,7.8,siruntu,webcam,viewer_5
15/02/2023 14:47:00,36360,18.6,siruntu,webcam,viewer_5
15/02/2023 14:48:00,36916,3.1,siruntu,webcam,viewer_5
15/02/2023 14:55:06,50200,9.3,siruntu,screen,viewer_5
15/02/2023 14:56:00,53880,7.7,siruntu,screen,viewer_5
15/02/2023 14:57:00,54632,9.3,siruntu,screen,viewer_5
15/02/2023 14:58:00,58932,3.1,siruntu,screen,viewer_5
15/02/2023 14:59:00,59048,6.2,siruntu,screen,viewer_5
15/02/2023 15:00:00,59132,6.2,siruntu,screen,viewer_5
15/02/2023 15:01:00,59520,1.5,siruntu,screen,viewer_5
15/02/2023 15:02:00,59360,6.2,siruntu,screen,viewer_5
15/02/2023 15:03:00,59320,6.2,siruntu,screen,viewer_5
15/02/2023 15:04:00,59856,1.6,siruntu,screen,viewer_5
15/02/2023 15:05:00,59668,4.6,siruntu,screen,viewer_5
15/02/2023 15:06:00,60056,3.1,siruntu,screen,viewer_5
15/02/2023 15:07:00,59736,1.6,siruntu,screen,viewer_5
15/02/2023 15:08:00,60100,3.1,siruntu,screen,viewer_5
15/02/2023 15:09:00,59980,4.7,siruntu,screen,viewer_5
15/02/2023 15:10:00,60032,9.3,siruntu,screen,viewer_5
15/02/2023 15:11:00,59888,1.5,siruntu,screen,viewer_5
15/02/2023 15:12:00,60240,3.1,siruntu,screen,viewer_5
15/02/2023 15:13:00,59020,3.1,siruntu,screen,viewer_5
15/02/2023 15:14:00,58836,6.2,siruntu,screen,viewer_5
15/02/2023 15:15:00,60308,3.1,siruntu,screen,viewer_5
15/02/2023 15:16:00,49852,4.6,siruntu,screen,viewer_5
15/02/2023 15:17:00,52772,4.6,siruntu,screen,viewer_5
15/02/2023 15:18:00,52612,6.2,siruntu,screen,viewer_5
15/02/2023 15:19:00,52580,7.8,siruntu,screen,viewer_5
15/02/2023 15:20:15,52448,3.1,siruntu,screen,viewer_5
