time,memory,cpu,app,media,user
01/02/2023 14:17:50,597496,82.7,zoom,webcam,viewer_6
01/02/2023 14:18:00,643968,40.4,zoom,webcam,viewer_6
01/02/2023 14:19:00,513876,17.1,zoom,webcam,viewer_6
01/02/2023 14:20:00,526976,4.7,zoom,webcam,viewer_6
01/02/2023 14:21:00,526936,20.1,zoom,webcam,viewer_6
01/02/2023 14:22:00,524508,6.2,zoom,webcam,viewer_6
01/02/2023 14:23:00,531272,12.4,zoom,webcam,viewer_6
01/02/2023 14:24:00,530716,18.6,zoom,webcam,viewer_6
01/02/2023 14:25:00,526556,18.6,zoom,webcam,viewer_6
01/02/2023 14:26:00,524460,15.5,zoom,webcam,viewer_6
01/02/2023 14:27:00,523944,9.3,zoom,webcam,viewer_6
01/02/2023 14:28:00,528156,1.6,zoom,webcam,viewer_6
01/02/2023 14:29:00,525724,10.9,zoom,webcam,viewer_6
01/02/2023 14:30:00,529224,20.1,zoom,webcam,viewer_6
01/02/2023 14:31:00,531796,10.8,zoom,webcam,viewer_6
01/02/2023 14:32:00,524328,1.5,zoom,webcam,viewer_6
01/02/2023 14:33:00,527852,14.0,zoom,webcam,viewer_6
01/02/2023 14:34:00,523960,7.8,zoom,webcam,viewer_6
01/02/2023 14:35:00,529580,9.3,zoom,webcam,viewer_6
01/02/2023 14:36:00,525944,9.3,zoom,webcam,viewer_6
01/02/2023 14:37:39,524000,17.1,zoom,webcam,viewer_6
01/02/2023 14:47:47,228144,114.0,zoom,screen,viewer_6
01/02/2023 14:48:00,509896,24.8,zoom,screen,viewer_6
01/02/2023 14:49:00,479448,4.7,zoom,screen,viewer_6
01/02/2023 14:50:00,493828,7.8,zoom,screen,viewer_6
01/02/2023 14:51:00,490068,10.9,zoom,screen,viewer_6
01/02/2023 14:52:00,499064,10.8,zoom,screen,viewer_6
01/02/2023 14:53:00,494460,7.7,zoom,screen,viewer_6
01/02/2023 14:54:00,491484,4.6,zoom,screen,viewer_6
01/02/2023 14:55:00,494236,9.3,zoom,screen,viewer_6
01/02/2023 14:56:00,486924,6.2,zoom,screen,viewer_6
01/02/2023 14:57:00,488364,4.6,zoom,screen,viewer_6
01/02/2023 14:58:00,486800,6.2,zoom,screen,viewer_6
01/02/2023 14:59:00,480408,12.4,zoom,screen,viewer_6
01/02/2023 15:00:00,484484,7.8,zoom,screen,viewer_6
01/02/2023 15:01:00,484328,12.4,zoom,screen,viewer_6
01/02/2023 15:02:00,486476,9.3,zoom,screen,viewer_6
01/02/2023 15:03:00,488000,6.2,zoom,screen,viewer_6
01/02/2023 15:04:00,482568,10.9,zoom,screen,viewer_6
01/02/2023 15:05:00,505436,3.1,zoom,screen,viewer_6
01/02/2023 15:06:51,561572,7.8,zoom,screen,viewer_6
