emial,memory,cpu,app,media,user
15/02/2023 14:29:11,39616,1.4,siruntu,webcam,viewer_8
15/02/2023 14:30:00,39804,10.9,siruntu,webcam,viewer_8
15/02/2023 14:31:00,45060,4.7,siruntu,webcam,viewer_8
15/02/2023 14:32:00,40004,4.7,siruntu,webcam,viewer_8
15/02/2023 14:33:00,40688,7.8,siruntu,webcam,viewer_8
15/02/2023 14:34:00,39322,6.2,siruntu,webcam,viewer_8
15/02/2023 14:35:00,39712,6.2,siruntu,webcam,viewer_8
15/02/2023 14:36:00,39876,6.2,siruntu,webcam,viewer_8
15/02/2023 14:37:00,39976,10.9,siruntu,webcam,viewer_8
15/02/2023 14:38:00,40200,9.3,siruntu,webcam,viewer_8
15/02/2023 14:39:00,40596,12.3,siruntu,webcam,viewer_8
15/02/2023 14:40:00,40712,12.4,siruntu,webcam,viewer_8
15/02/2023 14:41:00,40752,9.3,siruntu,webcam,viewer_8
15/02/2023 14:42:00,40852,7.7,siruntu,webcam,viewer_8
15/02/2023 14:43:00,41960,6.2,siruntu,webcam,viewer_8
15/02/2023 14:44:00,42508,10.9,siruntu,webcam,viewer_8
15/02/2023 14:45:00,41548,7.7,siruntu,webcam,viewer_8
15/02/2023 14:46:00,43792,7.7,siruntu,webcam,viewer_8
15/02/2023 14:47:00,40944,12.4,siruntu,webcam,viewer_8
15/02/2023 14:48:00,41696,3.1,siruntu,webcam,viewer_8
15/02/2023 14:58:05,55212,7.8,siruntu,screen,viewer_8
15/02/2023 14:59:00,57340,3.1,siruntu,screen,viewer_8
15/02/2023 15:00:00,60096,4.6,siruntu,screen,viewer_8
15/02/2023 15:01:00,60328,1.6,siruntu,screen,viewer_8
15/02/2023 15:02:00,62824,9.3,siruntu,screen,viewer_8
15/02/2023 15:03:00,62396,7.7,siruntu,screen,viewer_8
15/02/2023 15:04:00,62860,3.1,siruntu,screen,viewer_8
15/02/2023 15:05:00,62428,9.3,siruntu,screen,viewer_8
15/02/2023 15:06:00,62636,6.2,siruntu,screen,viewer_8
15/02/2023 15:07:00,62880,1.5,siruntu,screen,viewer_8
15/02/2023 15:08:00,62436,3.1,siruntu,screen,viewer_8
15/02/2023 15:09:00,62560,1.6,siruntu,screen,viewer_8
15/02/2023 15:10:00,62504,7.7,siruntu,screen,viewer_8
15/02/2023 15:11:00,62864,1.5,siruntu,screen,viewer_8
15/02/2023 15:12:00,62556,6.2,siruntu,screen,viewer_8
15/02/2023 15:13:00,62560,3.1,siruntu,screen,viewer_8
15/02/2023 15:14:00,62812,1.6,siruntu,screen,viewer_8
15/02/2023 15:15:00,62890,12.4,siruntu,screen,viewer_8
15/02/2023 15:16:00,62784,3.1,siruntu,screen,viewer_8
15/02/2023 15:17:00,62996,3.1,siruntu,screen,viewer_8
15/02/2023 15:18:00,62928,3.1,siruntu,screen,viewer_8
15/02/2023 15:19:00,62516,6.2,siruntu,screen,viewer_8
15/02/2023 15:20:15,62548,1.6,siruntu,screen,viewer_8
