time,memory,cpu,app,media,user
30/01/2023 14:06:42,197500,58.3,gmeet,webcam,presenter
30/01/2023 14:07:00,199148,46.1,gmeet,webcam,presenter
30/01/2023 14:08:00,205404,51.3,gmeet,webcam,presenter
30/01/2023 14:09:00,216228,81.6,gmeet,webcam,presenter
30/01/2023 14:10:00,213040,110.4,gmeet,webcam,presenter
30/01/2023 14:11:00,210236,70.9,gmeet,webcam,presenter
30/01/2023 14:12:00,202612,53.6,gmeet,webcam,presenter
30/01/2023 14:13:00,196760,76.1,gmeet,webcam,presenter
30/01/2023 14:14:00,202252,57.7,gmeet,webcam,presenter
30/01/2023 14:15:00,210040,65.9,gmeet,webcam,presenter
30/01/2023 14:16:00,192924,62.4,gmeet,webcam,presenter
30/01/2023 14:17:00,197608,52.3,gmeet,webcam,presenter
30/01/2023 14:18:00,203268,59.8,gmeet,webcam,presenter
30/01/2023 14:19:00,209136,75.4,gmeet,webcam,presenter
30/01/2023 14:20:00,211160,49.3,gmeet,webcam,presenter
30/01/2023 14:21:00,202292,63.2,gmeet,webcam,presenter
30/01/2023 14:22:00,207112,76.0,gmeet,webcam,presenter
30/01/2023 14:23:00,207532,55.7,gmeet,webcam,presenter
30/01/2023 14:24:00,216552,52.0,gmeet,webcam,presenter
30/01/2023 14:25:00,201652,61.0,gmeet,webcam,presenter
30/01/2023 14:26:00,194404,70.1,gmeet,webcam,presenter
30/01/2023 14:27:00,201456,103.1,gmeet,webcam,presenter
30/01/2023 14:28:00,201892,55.9,gmeet,webcam,presenter
30/01/2023 14:29:00,212112,76.1,gmeet,webcam,presenter
30/01/2023 14:30:00,209660,58,gmeet,webcam,presenter
30/01/2023 14:31:00,212928,42.9,gmeet,webcam,presenter
30/01/2023 14:32:59,207512,46.6,gmeet,webcam,presenter
30/01/2023 14:38:01,257632,17.9,gmeet,screen,presenter
30/01/2023 14:39:00,301700,35.7,gmeet,screen,presenter
30/01/2023 14:40:00,314844,39.1,gmeet,screen,presenter
30/01/2023 14:41:00,318084,38.7,gmeet,screen,presenter
30/01/2023 14:42:00,311100,57.4,gmeet,screen,presenter
30/01/2023 14:43:00,316828,47.6,gmeet,screen,presenter
30/01/2023 14:44:00,322896,43.9,gmeet,screen,presenter
30/01/2023 14:45:00,321560,54.0,gmeet,screen,presenter
30/01/2023 14:46:00,313784,34.0,gmeet,screen,presenter
30/01/2023 14:47:00,309632,53.1,gmeet,screen,presenter
30/01/2023 14:48:00,322836,49.2,gmeet,screen,presenter
30/01/2023 14:49:00,315152,40.6,gmeet,screen,presenter
30/01/2023 14:50:00,327444,63.8,gmeet,screen,presenter
30/01/2023 14:51:00,329976,60.6,gmeet,screen,presenter
30/01/2023 14:52:00,319136,36.2,gmeet,screen,presenter
30/01/2023 14:53:00,311156,33.8,gmeet,screen,presenter
30/01/2023 14:54:00,317808,31.1,gmeet,screen,presenter
30/01/2023 14:55:00,309476,35.4,gmeet,screen,presenter
30/01/2023 14:56:00,314668,34.0,gmeet,screen,presenter
30/01/2023 14:57:00,321092,42.0,gmeet,screen,presenter
30/01/2023 14:58:00,326604,47.4,gmeet,screen,presenter
30/01/2023 14:59:00,319040,34.4,gmeet,screen,presenter
30/01/2023 15:00:00,331680,36.6,gmeet,screen,presenter
30/01/2023 15:01:00,336348,31.1,gmeet,screen,presenter
30/01/2023 15:02:00,319004,50.0,gmeet,screen,presenter
30/01/2023 15:03:00,322188,41.6,gmeet,screen,presenter
30/01/2023 15:04:00,330372,34.6,gmeet,screen,presenter
30/01/2023 15:05:00,316240,35.5,gmeet,screen,presenter
30/01/2023 15:06:35,325704,67.2,gmeet,screen,presenter
