time,memory,cpu,app,media,user
01/02/2023 14:10:00,561508,83.0,zoom,webcam,presenter
01/02/2023 14:11:00,566332,0.0,zoom,webcam,presenter
01/02/2023 14:12:00,577628,88.5,zoom,webcam,presenter
01/02/2023 14:13:00,572696,113.3,zoom,webcam,presenter
01/02/2023 14:14:00,575488,105.0,zoom,webcam,presenter
01/02/2023 14:15:00,561888,88.0,zoom,webcam,presenter
01/02/2023 14:16:00,569044,111.8,zoom,webcam,presenter
01/02/2023 14:17:00,576532,95.6,zoom,webcam,presenter
01/02/2023 14:18:00,577824,66.8,zoom,webcam,presenter
01/02/2023 14:19:00,591840,69.7,zoom,webcam,presenter
01/02/2023 14:20:00,600652,110.0,zoom,webcam,presenter
01/02/2023 14:21:00,604324,0.0,zoom,webcam,presenter
01/02/2023 14:22:00,606080,84.5,zoom,webcam,presenter
01/02/2023 14:23:00,614292,127.1,zoom,webcam,presenter
01/02/2023 14:24:00,606112,72.5,zoom,webcam,presenter
01/02/2023 14:25:00,605320,82.0,zoom,webcam,presenter
01/02/2023 14:26:00,613744,94.1,zoom,webcam,presenter
01/02/2023 14:27:00,608132,70.3,zoom,webcam,presenter
01/02/2023 14:28:00,608420,83.1,zoom,webcam,presenter
01/02/2023 14:29:00,615860,83.3,zoom,webcam,presenter
01/02/2023 14:30:00,612840,37.5,zoom,webcam,presenter
01/02/2023 14:31:00,610588,70.2,zoom,webcam,presenter
01/02/2023 14:32:00,616696,88.4,zoom,webcam,presenter
01/02/2023 14:33:00,618244,79.0,zoom,webcam,presenter
01/02/2023 14:34:00,617428,63.1,zoom,webcam,presenter
01/02/2023 14:35:00,615696,90.7,zoom,webcam,presenter
01/02/2023 14:36:00,619524,99.4,zoom,webcam,presenter
01/02/2023 14:37:39,558804,29.1,zoom,webcam,presenter
01/02/2023 14:40:00,592276,32.9,zoom,screen,presenter
01/02/2023 14:41:00,476880,22.0,zoom,screen,presenter
01/02/2023 14:42:00,515820,40.8,zoom,screen,presenter
01/02/2023 14:43:00,521532,44.1,zoom,screen,presenter
01/02/2023 14:44:00,523888,61.7,zoom,screen,presenter
01/02/2023 14:45:00,523444,44.8,zoom,screen,presenter
01/02/2023 14:46:00,525892,38.3,zoom,screen,presenter
01/02/2023 14:47:00,530404,44.6,zoom,screen,presenter
01/02/2023 14:48:00,532132,32.0,zoom,screen,presenter
01/02/2023 14:49:00,530344,50.6,zoom,screen,presenter
01/02/2023 14:50:00,537392,40.1,zoom,screen,presenter
01/02/2023 14:51:00,537144,34.5,zoom,screen,presenter
01/02/2023 14:52:00,533320,38.2,zoom,screen,presenter
01/02/2023 14:53:00,534116,34.8,zoom,screen,presenter
01/02/2023 14:54:00,534276,37.1,zoom,screen,presenter
01/02/2023 14:55:00,535124,39.6,zoom,screen,presenter
01/02/2023 14:56:00,537224,40.2,zoom,screen,presenter
01/02/2023 14:57:00,533628,44.4,zoom,screen,presenter
01/02/2023 14:58:00,534872,38.1,zoom,screen,presenter
01/02/2023 14:59:00,538104,43.0,zoom,screen,presenter
01/02/2023 15:00:00,537360,34.5,zoom,screen,presenter
01/02/2023 15:01:00,531612,40.9,zoom,screen,presenter
01/02/2023 15:02:00,532616,39.1,zoom,screen,presenter
01/02/2023 15:03:00,537212,149.0,zoom,screen,presenter
01/02/2023 15:04:00,551956,40.6,zoom,screen,presenter
01/02/2023 15:05:00,555880,39.4,zoom,screen,presenter
01/02/2023 15:06:51,545728,66.8,zoom,screen,presenter
