name,type,gmeet_webcam_entered,gmeet_webcam_exited,gmeet_screen_entered,gmeet_screen_exited,zoom_webcam_entered,zoom_webcam_exited,zoom_screen_entered,zoom_screen_exited,siruntu_webcam_entered,siruntu_webcam_exited,siruntu_screen_entered,siruntu_screen_exited
presenter,presenter,14/06/2023 13:25:18,14/06/2023 13:50:04,14/06/2023 13:55:04,14/06/2023 14:20:01,14/06/2023 14:30:02,14/06/2023 14:55:04,14/06/2023 15:00:04,14/06/2023 15:25:00,15/06/2023 14:50:12,15/06/2023 15:11:03,15/06/2023 15:25:15,15/06/2023 15:46:01
viewer_1,viewer,14/06/2023 13:26:20,14/06/2023 13:50:01,14/06/2023 13:56:26,14/06/2023 14:20:01,14/06/2023 14:31:21,14/06/2023 14:55:01,14/06/2023 15:02:31,14/06/2023 15:25:01,15/06/2023 14:51:08,15/06/2023 15:11:03,15/06/2023 15:27:03,15/06/2023 15:48:03
viewer_2,viewer,14/06/2023 13:27:31,14/06/2023 13:48:01,14/06/2023 13:57:31,14/06/2023 14:20:01,14/06/2023 14:32:16,14/06/2023 14:55:02,14/06/2023 15:02:32,14/06/2023 15:25:02,15/06/2023 14:52:10,15/06/2023 15:11:00,15/06/2023 15:27:20,15/06/2023 15:46:00
viewer_3,viewer,14/06/2023 13:28:18,14/06/2023 13:50:03,14/06/2023 13:58:18,14/06/2023 14:20:03,14/06/2023 14:33:18,14/06/2023 14:55:03,14/06/2023 15:03:13,14/06/2023 15:25:03,15/06/2023 14:53:07,15/06/2023 15:11:02,15/06/2023 15:28:27,15/06/2023 15:47:02
viewer_4,viewer,14/06/2023 13:29:19,14/06/2023 13:50:04,14/06/2023 13:59:15,14/06/2023 14:20:00,14/06/2023 14:34:30,14/06/2023 14:55:00,14/06/2023 15:04:05,14/06/2023 15:25:00,15/06/2023 14:54:07,15/06/2023 15:11:03,15/06/2023 15:29:08,15/06/2023 15:47:03
viewer_5,viewer,14/06/2023 13:30:22,14/06/2023 13:50:02,14/06/2023 14:00:22,14/06/2023 14:20:03,14/06/2023 14:35:13,14/06/2023 14:55:03,14/06/2023 15:05:33,14/06/2023 15:25:03,15/06/2023 14:55:56,15/06/2023 15:11:01,15/06/2023 15:30:11,15/06/2023 15:47:01
viewer_6,viewer,14/06/2023 13:31:45,14/06/2023 13:50:02,14/06/2023 14:01:13,14/06/2023 14:20:01,14/06/2023 14:36:17,14/06/2023 14:55:02,14/06/2023 15:06:12,14/06/2023 15:25:02,15/06/2023 14:56:05,15/06/2023 15:12:01,15/06/2023 15:31:09,15/06/2023 15:46:01
viewer_7,viewer,14/06/2023 13:32:22,14/06/2023 13:50:02,14/06/2023 14:02:57,14/06/2023 14:20:02,14/06/2023 14:37:17,14/06/2023 14:55:04,14/06/2023 15:07:08,14/06/2023 15:25:03,15/06/2023 14:57:10,15/06/2023 15:11:00,15/06/2023 15:32:10,15/06/2023 15:46:00
viewer_8,viewer,14/06/2023 13:33:29,14/06/2023 13:50:04,14/06/2023 14:03:19,14/06/2023 14:20:00,14/06/2023 14:38:20,14/06/2023 14:55:00,14/06/2023 15:08:40,14/06/2023 15:25:00,15/06/2023 14:58:14,15/06/2023 15:11:04,15/06/2023 15:33:10,15/06/2023 15:47:00
viewer_9,viewer,14/06/2023 13:34:17,14/06/2023 13:50:02,14/06/2023 14:04:28,14/06/2023 14:20:03,14/06/2023 14:39:28,14/06/2023 14:55:03,14/06/2023 15:09:33,14/06/2023 15:25:03,15/06/2023 14:59:04,15/06/2023 15:11:04,15/06/2023 15:34:14,15/06/2023 15:47:04
viewer_10,viewer,14/06/2023 13:35:15,14/06/2023 13:50:01,14/06/2023 14:05:26,14/06/2023 14:20:01,14/06/2023 14:40:11,14/06/2023 14:55:01,14/06/2023 15:10:16,14/06/2023 15:25:01,15/06/2023 15:00:16,15/06/2023 15:11:01,15/06/2023 15:35:06,15/06/2023 15:47:01
