time,memory,cpu,app,media,user
14/06/2023 13:30:22,164116,41.9,gmeet,webcam,viewer_5
14/06/2023 13:31:02,140628,26.3,gmeet,webcam,viewer_5
14/06/2023 13:32:02,145504,21.7,gmeet,webcam,viewer_5
14/06/2023 13:33:02,148032,27.9,gmeet,webcam,viewer_5
14/06/2023 13:34:02,149496,9.3,gmeet,webcam,viewer_5
14/06/2023 13:35:02,140736,15.5,gmeet,webcam,viewer_5
14/06/2023 13:36:02,142076,27.9,gmeet,webcam,viewer_5
14/06/2023 13:37:02,149388,18.6,gmeet,webcam,viewer_5
14/06/2023 13:38:02,150752,20.2,gmeet,webcam,viewer_5
14/06/2023 13:39:02,155908,31.0,gmeet,webcam,viewer_5
14/06/2023 13:40:02,143408,24.8,gmeet,webcam,viewer_5
14/06/2023 13:41:02,147432,26.3,gmeet,webcam,viewer_5
14/06/2023 13:42:02,148388,23.2,gmeet,webcam,viewer_5
14/06/2023 13:43:02,157716,20.1,gmeet,webcam,viewer_5
14/06/2023 13:44:02,147276,29.4,gmeet,webcam,viewer_5
14/06/2023 13:45:02,142100,24.8,gmeet,webcam,viewer_5
14/06/2023 13:46:02,142548,27.9,gmeet,webcam,viewer_5
14/06/2023 13:47:02,144932,27.9,gmeet,webcam,viewer_5
14/06/2023 13:48:02,149080,29.6,gmeet,webcam,viewer_5
14/06/2023 13:49:02,155724,29.5,gmeet,webcam,viewer_5
14/06/2023 13:50:02,141232,49.7,gmeet,webcam,viewer_5
14/06/2023 14:00:22,158196,7.7,gmeet,screen,viewer_5
14/06/2023 14:01:02,136352,7.7,gmeet,screen,viewer_5
14/06/2023 14:02:02,148780,17.0,gmeet,screen,viewer_5
14/06/2023 14:03:02,134640,10.9,gmeet,screen,viewer_5
14/06/2023 14:04:02,134408,13.9,gmeet,screen,viewer_5
14/06/2023 14:05:02,145424,18.6,gmeet,screen,viewer_5
14/06/2023 14:06:02,144892,15.5,gmeet,screen,viewer_5
14/06/2023 14:07:02,157784,4.7,gmeet,screen,viewer_5
14/06/2023 14:08:02,138716,14.0,gmeet,screen,viewer_5
14/06/2023 14:09:02,147008,9.3,gmeet,screen,viewer_5
14/06/2023 14:10:02,146944,10.8,gmeet,screen,viewer_5
14/06/2023 14:11:03,155784,6.2,gmeet,screen,viewer_5
14/06/2023 14:12:03,155092,10.9,gmeet,screen,viewer_5
14/06/2023 14:13:03,148920,10.9,gmeet,screen,viewer_5
14/06/2023 14:14:03,155608,24.8,gmeet,screen,viewer_5
14/06/2023 14:15:03,156968,12.4,gmeet,screen,viewer_5
14/06/2023 14:16:03,164900,9.3,gmeet,screen,viewer_5
14/06/2023 14:17:03,159020,13.9,gmeet,screen,viewer_5
14/06/2023 14:18:03,154164,9.3,gmeet,screen,viewer_5
14/06/2023 14:19:03,154316,7.7,gmeet,screen,viewer_5
14/06/2023 14:20:03,163172,6.2,gmeet,screen,viewer_5
