time,memory,cpu,app,media,user
14/06/2023 13:25:18,208168,174.3,gmeet,webcam,presenter
14/06/2023 13:26:03,197324,87.9,gmeet,webcam,presenter
14/06/2023 13:27:03,213632,69.8,gmeet,webcam,presenter
14/06/2023 13:28:03,226568,80.4,gmeet,webcam,presenter
14/06/2023 13:29:03,212364,81.9,gmeet,webcam,presenter
14/06/2023 13:30:03,216608,96.7,gmeet,webcam,presenter
14/06/2023 13:31:03,221008,97.6,gmeet,webcam,presenter
14/06/2023 13:32:03,219232,40.4,gmeet,webcam,presenter
14/06/2023 13:33:03,206568,27.9,gmeet,webcam,presenter
14/06/2023 13:34:03,201120,23.6,gmeet,webcam,presenter
14/06/2023 13:35:03,198636,28.0,gmeet,webcam,presenter
14/06/2023 13:36:03,204788,32.2,gmeet,webcam,presenter
14/06/2023 13:37:03,206396,23.0,gmeet,webcam,presenter
14/06/2023 13:38:03,211364,32.5,gmeet,webcam,presenter
14/06/2023 13:39:04,204208,36.7,gmeet,webcam,presenter
14/06/2023 13:40:04,192912,29.3,gmeet,webcam,presenter
14/06/2023 13:41:04,195428,31.3,gmeet,webcam,presenter
14/06/2023 13:42:04,201840,26.7,gmeet,webcam,presenter
14/06/2023 13:43:04,204200,40.0,gmeet,webcam,presenter
14/06/2023 13:44:04,209496,26.4,gmeet,webcam,presenter
14/06/2023 13:45:04,194864,31.5,gmeet,webcam,presenter
14/06/2023 13:46:04,205272,109.0,gmeet,webcam,presenter
14/06/2023 13:47:04,203144,30.1,gmeet,webcam,presenter
14/06/2023 13:48:04,207844,29.5,gmeet,webcam,presenter
14/06/2023 13:49:04,208008,28.1,gmeet,webcam,presenter
14/06/2023 13:50:04,207540,166.4,gmeet,webcam,presenter
14/06/2023 13:55:04,327588,10.9,gmeet,screen,presenter
14/06/2023 13:56:00,307600,10.9,gmeet,screen,presenter
14/06/2023 13:57:00,311932,10.9,gmeet,screen,presenter
14/06/2023 13:58:00,303436,13.9,gmeet,screen,presenter
14/06/2023 13:59:00,307628,14.0,gmeet,screen,presenter
14/06/2023 14:00:00,315308,13.9,gmeet,screen,presenter
14/06/2023 14:01:00,309180,40.5,gmeet,screen,presenter
14/06/2023 14:02:00,316524,97.7,gmeet,screen,presenter
14/06/2023 14:03:00,323104,26.6,gmeet,screen,presenter
14/06/2023 14:04:00,314652,12.4,gmeet,screen,presenter
14/06/2023 14:05:00,322468,14.3,gmeet,screen,presenter
14/06/2023 14:06:00,328204,15.5,gmeet,screen,presenter
14/06/2023 14:07:00,331420,15.6,gmeet,screen,presenter
14/06/2023 14:08:00,324328,4.7,gmeet,screen,presenter
14/06/2023 14:09:00,328684,11.9,gmeet,screen,presenter
14/06/2023 14:10:00,330576,17.1,gmeet,screen,presenter
14/06/2023 14:11:00,321624,16.8,gmeet,screen,presenter
14/06/2023 14:12:00,329944,18.4,gmeet,screen,presenter
14/06/2023 14:13:00,335924,24.2,gmeet,screen,presenter
14/06/2023 14:14:01,340016,29.1,gmeet,screen,presenter
14/06/2023 14:15:01,330864,7.8,gmeet,screen,presenter
14/06/2023 14:16:01,334372,29.9,gmeet,screen,presenter
14/06/2023 14:17:01,340368,13.7,gmeet,screen,presenter
14/06/2023 14:18:01,329956,0.0,gmeet,screen,presenter
14/06/2023 14:19:01,338552,27.1,gmeet,screen,presenter
14/06/2023 14:20:01,343568,21.8,gmeet,screen,presenter
