time,memory,cpu,app,media,user
15/06/2023 14:50:12,98412,63.3,siruntu,webcam,presenter
15/06/2023 14:51:02,99872,86.1,siruntu,webcam,presenter
15/06/2023 14:52:02,112124,65.3,siruntu,webcam,presenter
15/06/2023 14:53:02,103156,46.9,siruntu,webcam,presenter
15/06/2023 14:54:03,94588,62.1,siruntu,webcam,presenter
15/06/2023 14:55:03,110744,83.4,siruntu,webcam,presenter
15/06/2023 14:56:03,105516,60.5,siruntu,webcam,presenter
15/06/2023 14:57:03,97188,35.6,siruntu,webcam,presenter
15/06/2023 14:58:03,99096,56.9,siruntu,webcam,presenter
15/06/2023 14:59:03,96548,53.2,siruntu,webcam,presenter
15/06/2023 15:00:03,97360,57.4,siruntu,webcam,presenter
15/06/2023 15:01:03,98728,49.0,siruntu,webcam,presenter
15/06/2023 15:02:03,95636,44.1,siruntu,webcam,presenter
15/06/2023 15:03:03,103228,40.1,siruntu,webcam,presenter
15/06/2023 15:04:03,104768,52.9,siruntu,webcam,presenter
15/06/2023 15:05:03,101584,58.7,siruntu,webcam,presenter
15/06/2023 15:06:03,102364,40.6,siruntu,webcam,presenter
15/06/2023 15:07:03,104832,31.0,siruntu,webcam,presenter
15/06/2023 15:08:03,102508,42.6,siruntu,webcam,presenter
15/06/2023 15:09:03,103120,34.9,siruntu,webcam,presenter
15/06/2023 15:10:03,105456,54.9,siruntu,webcam,presenter
15/06/2023 15:11:03,101420,49.8,siruntu,webcam,presenter
15/06/2023 15:25:15,132160,62.8,siruntu,screen,presenter
15/06/2023 15:26:00,134236,88.7,siruntu,screen,presenter
15/06/2023 15:27:00,136828,73.2,siruntu,screen,presenter
15/06/2023 15:28:00,138332,91.2,siruntu,screen,presenter
15/06/2023 15:29:00,141932,98.5,siruntu,screen,presenter
15/06/2023 15:30:00,147180,109.3,siruntu,screen,presenter
15/06/2023 15:31:00,143060,22.8,siruntu,screen,presenter
15/06/2023 15:32:00,144900,18.7,siruntu,screen,presenter
15/06/2023 15:33:00,147240,18.6,siruntu,screen,presenter
15/06/2023 15:34:00,146080,37.5,siruntu,screen,presenter
15/06/2023 15:35:00,147232,21.8,siruntu,screen,presenter
15/06/2023 15:36:00,147068,15.6,siruntu,screen,presenter
15/06/2023 15:37:00,147632,95.0,siruntu,screen,presenter
15/06/2023 15:38:00,148940,71.9,siruntu,screen,presenter
15/06/2023 15:39:00,146592,98.2,siruntu,screen,presenter
15/06/2023 15:40:00,147568,65.5,siruntu,screen,presenter
15/06/2023 15:41:00,150644,84.0,siruntu,screen,presenter
15/06/2023 15:42:00,147732,62.2,siruntu,screen,presenter
15/06/2023 15:43:01,149552,66.8,siruntu,screen,presenter
15/06/2023 15:44:01,147840,100.3,siruntu,screen,presenter
15/06/2023 15:45:01,148900,64.2,siruntu,screen,presenter
15/06/2023 15:46:01,150412,0.0,siruntu,screen,presenter
