time,memory,cpu,app,media,user
14/06/2023 14:30:02,632240,80.3,zoom,webcam,presenter
14/06/2023 14:31:02,734588,32.7,zoom,webcam,presenter
14/06/2023 14:32:02,577028,64.7,zoom,webcam,presenter
14/06/2023 14:33:02,577860,62.4,zoom,webcam,presenter
14/06/2023 14:34:02,589364,108.9,zoom,webcam,presenter
14/06/2023 14:35:02,577456,69.6,zoom,webcam,presenter
14/06/2023 14:36:02,569144,48.9,zoom,webcam,presenter
14/06/2023 14:37:02,573556,40.6,zoom,webcam,presenter
14/06/2023 14:38:02,575248,60.7,zoom,webcam,presenter
14/06/2023 14:39:02,566732,38.3,zoom,webcam,presenter
14/06/2023 14:40:03,570432,41.8,zoom,webcam,presenter
14/06/2023 14:41:03,574668,103.1,zoom,webcam,presenter
14/06/2023 14:42:03,574472,44.6,zoom,webcam,presenter
14/06/2023 14:43:03,578312,66.6,zoom,webcam,presenter
14/06/2023 14:44:03,582384,56.6,zoom,webcam,presenter
14/06/2023 14:45:03,577712,65.6,zoom,webcam,presenter
14/06/2023 14:46:03,583852,45.2,zoom,webcam,presenter
14/06/2023 14:47:03,574184,52.0,zoom,webcam,presenter
14/06/2023 14:48:03,567864,56.3,zoom,webcam,presenter
14/06/2023 14:49:03,574856,114.5,zoom,webcam,presenter
14/06/2023 14:50:03,582232,60.4,zoom,webcam,presenter
14/06/2023 14:51:03,579836,77.8,zoom,webcam,presenter
14/06/2023 14:52:03,583504,84.4,zoom,webcam,presenter
14/06/2023 14:53:03,579576,52.9,zoom,webcam,presenter
14/06/2023 14:54:04,580944,66.5,zoom,webcam,presenter
14/06/2023 14:55:04,577456,91.2,zoom,webcam,presenter
14/06/2023 15:00:04,398864,23.6,zoom,screen,presenter
14/06/2023 15:01:04,457196,19.2,zoom,screen,presenter
14/06/2023 15:02:04,408848,88.9,zoom,screen,presenter
14/06/2023 15:03:04,645400,46.8,zoom,screen,presenter
14/06/2023 15:04:04,584028,35.4,zoom,screen,presenter
14/06/2023 15:05:04,591996,40.7,zoom,screen,presenter
14/06/2023 15:06:04,594144,34.5,zoom,screen,presenter
14/06/2023 15:07:04,600336,59.1,zoom,screen,presenter
14/06/2023 15:08:04,606240,25.0,zoom,screen,presenter
14/06/2023 15:09:04,605656,26.2,zoom,screen,presenter
14/06/2023 15:10:04,608212,29.1,zoom,screen,presenter
14/06/2023 15:11:04,593316,37.7,zoom,screen,presenter
14/06/2023 15:12:04,596840,32.9,zoom,screen,presenter
14/06/2023 15:13:04,600800,29.9,zoom,screen,presenter
14/06/2023 15:14:04,598920,30.6,zoom,screen,presenter
14/06/2023 15:15:00,599404,21.9,zoom,screen,presenter
14/06/2023 15:16:00,601484,39.1,zoom,screen,presenter
14/06/2023 15:17:00,601728,31.3,zoom,screen,presenter
14/06/2023 15:18:00,602888,33.7,zoom,screen,presenter
14/06/2023 15:19:00,604084,16.6,zoom,screen,presenter
14/06/2023 15:20:00,605688,25.0,zoom,screen,presenter
14/06/2023 15:21:00,606828,31.4,zoom,screen,presenter
14/06/2023 15:22:00,606028,20.5,zoom,screen,presenter
14/06/2023 15:23:00,601112,22.3,zoom,screen,presenter
14/06/2023 15:24:00,601048,35.3,zoom,screen,presenter
14/06/2023 15:25:00,602916,37.1,zoom,screen,presenter
