time,pid,port,download_(bytes),upload_(bytes),app,media,user
2023-06-14 13:25:18,47964.0,0.0,10024,40008,gmeet,webcam,presenter
2023-06-14 13:25:19,31976.0,0.0,2951,27607,gmeet,webcam,presenter
2023-06-14 13:25:20,31976.0,0.0,56252,42016,gmeet,webcam,presenter
2023-06-14 13:25:21,31976.0,0.0,3328,28697,gmeet,webcam,presenter
2023-06-14 13:25:22,31976.0,0.0,2690,29340,gmeet,webcam,presenter
2023-06-14 13:25:23,31976.0,0.0,9557,30232,gmeet,webcam,presenter
2023-06-14 13:25:24,15988.0,0.0,2072,27932,gmeet,webcam,presenter
2023-06-14 13:25:25,15988.0,0.0,2162,30132,gmeet,webcam,presenter
2023-06-14 13:25:26,15988.0,0.0,1938,30346,gmeet,webcam,presenter
2023-06-14 13:25:27,15988.0,0.0,2236,28568,gmeet,webcam,presenter
2023-06-14 13:25:28,15988.0,0.0,1942,27535,gmeet,webcam,presenter
2023-06-14 13:25:29,15988.0,0.0,2394,29818,gmeet,webcam,presenter
2023-06-14 13:25:30,15988.0,0.0,1742,28373,gmeet,webcam,presenter
2023-06-14 13:25:31,31976.0,0.0,3621,30332,gmeet,webcam,presenter
2023-06-14 13:25:32,15988.0,0.0,2284,28412,gmeet,webcam,presenter
2023-06-14 13:25:33,15988.0,0.0,2048,25132,gmeet,webcam,presenter
2023-06-14 13:25:34,15988.0,0.0,1992,29777,gmeet,webcam,presenter
2023-06-14 13:25:35,15988.0,0.0,2052,30625,gmeet,webcam,presenter
2023-06-14 13:25:36,31976.0,0.0,2863,34472,gmeet,webcam,presenter
2023-06-14 13:25:37,31976.0,0.0,2765,28738,gmeet,webcam,presenter
2023-06-14 13:25:38,31976.0,0.0,1778,26676,gmeet,webcam,presenter
2023-06-14 13:25:39,15988.0,0.0,1950,29522,gmeet,webcam,presenter
2023-06-14 13:25:40,15988.0,0.0,1816,31320,gmeet,webcam,presenter
2023-06-14 13:25:41,15988.0,0.0,2048,24385,gmeet,webcam,presenter
2023-06-14 13:25:42,47964.0,0.0,3303,31381,gmeet,webcam,presenter
2023-06-14 13:25:43,15988.0,0.0,2068,29946,gmeet,webcam,presenter
2023-06-14 13:25:44,15988.0,0.0,2048,28293,gmeet,webcam,presenter
2023-06-14 13:25:45,15988.0,0.0,1848,26118,gmeet,webcam,presenter
2023-06-14 13:25:46,15988.0,0.0,2162,28643,gmeet,webcam,presenter
2023-06-14 13:25:47,15988.0,0.0,2048,30528,gmeet,webcam,presenter
2023-06-14 13:25:48,15988.0,0.0,2166,25466,gmeet,webcam,presenter
2023-06-14 13:25:49,15988.0,0.0,2162,30030,gmeet,webcam,presenter
2023-06-14 13:25:50,15988.0,0.0,1836,28908,gmeet,webcam,presenter
2023-06-14 13:25:51,15988.0,0.0,2543,30604,gmeet,webcam,presenter
2023-06-14 13:25:52,15988.0,0.0,1832,23440,gmeet,webcam,presenter
2023-06-14 13:25:53,31976.0,0.0,3278,32375,gmeet,webcam,presenter
2023-06-14 13:25:54,15988.0,0.0,2150,26991,gmeet,webcam,presenter
2023-06-14 13:25:55,15988.0,0.0,2154,30273,gmeet,webcam,presenter
2023-06-14 13:25:56,31976.0,0.0,2994,30359,gmeet,webcam,presenter
2023-06-14 13:25:57,31976.0,0.0,3698,30369,gmeet,webcam,presenter
2023-06-14 13:25:58,15988.0,0.0,2272,25205,gmeet,webcam,presenter
2023-06-14 13:25:59,15988.0,0.0,2056,29709,gmeet,webcam,presenter
2023-06-14 13:26:00,15988.0,0.0,1938,33399,gmeet,webcam,presenter
2023-06-14 13:26:01,15988.0,0.0,2170,29562,gmeet,webcam,presenter
2023-06-14 13:26:02,15988.0,0.0,2264,23510,gmeet,webcam,presenter
2023-06-14 13:26:03,15988.0,0.0,1950,25603,gmeet,webcam,presenter
