time,pid,port,download_(bytes),upload_(bytes),app,media,user
2023-06-15 14:50:12,1248.0,0.0,570,27308,siruntu,webcam,presenter
2023-06-15 14:50:13,1248.0,0.0,830,42899,siruntu,webcam,presenter
2023-06-15 14:50:14,1248.0,0.0,450,47417,siruntu,webcam,presenter
2023-06-15 14:50:15,1248.0,0.0,164,58373,siruntu,webcam,presenter
2023-06-15 14:50:16,2496.0,0.0,1645,61288,siruntu,webcam,presenter
2023-06-15 14:50:17,2496.0,0.0,394,110628,siruntu,webcam,presenter
2023-06-15 14:50:19,1248.0,0.0,708,56245,siruntu,webcam,presenter
2023-06-15 14:50:20,1248.0,0.0,450,58210,siruntu,webcam,presenter
2023-06-15 14:50:21,1248.0,0.0,452,42332,siruntu,webcam,presenter
2023-06-15 14:50:22,1248.0,0.0,614,46313,siruntu,webcam,presenter
2023-06-15 14:50:23,1248.0,0.0,164,38721,siruntu,webcam,presenter
2023-06-15 14:50:24,1248.0,0.0,328,48039,siruntu,webcam,presenter
2023-06-15 14:50:25,1248.0,0.0,450,39133,siruntu,webcam,presenter
2023-06-15 14:50:26,1248.0,0.0,404,46050,siruntu,webcam,presenter
2023-06-15 14:50:27,1248.0,0.0,450,35310,siruntu,webcam,presenter
2023-06-15 14:50:28,1248.0,0.0,468,48429,siruntu,webcam,presenter
2023-06-15 14:50:29,1248.0,0.0,328,34464,siruntu,webcam,presenter
2023-06-15 14:50:30,1248.0,0.0,450,88909,siruntu,webcam,presenter
2023-06-15 14:50:31,1248.0,0.0,238,122549,siruntu,webcam,presenter
2023-06-15 14:50:32,1248.0,0.0,450,221061,siruntu,webcam,presenter
2023-06-15 14:50:33,1248.0,0.0,468,219895,siruntu,webcam,presenter
2023-06-15 14:50:34,1248.0,0.0,164,227601,siruntu,webcam,presenter
2023-06-15 14:50:35,1248.0,0.0,614,171443,siruntu,webcam,presenter
2023-06-15 14:50:36,1248.0,0.0,398,307395,siruntu,webcam,presenter
2023-06-15 14:50:37,2496.0,0.0,468,213319,siruntu,webcam,presenter
2023-06-15 14:50:38,1248.0,0.0,450,257207,siruntu,webcam,presenter
2023-06-15 14:50:39,1248.0,0.0,328,166437,siruntu,webcam,presenter
2023-06-15 14:50:40,1248.0,0.0,450,182129,siruntu,webcam,presenter
2023-06-15 14:50:41,1248.0,0.0,616,231325,siruntu,webcam,presenter
2023-06-15 14:50:42,1248.0,0.0,328,329073,siruntu,webcam,presenter
2023-06-15 14:50:43,1248.0,0.0,450,220514,siruntu,webcam,presenter
2023-06-15 14:50:44,1248.0,0.0,328,236203,siruntu,webcam,presenter
2023-06-15 14:50:45,1248.0,0.0,450,216096,siruntu,webcam,presenter
2023-06-15 14:50:46,1248.0,0.0,304,221451,siruntu,webcam,presenter
2023-06-15 14:50:47,1248.0,0.0,328,192743,siruntu,webcam,presenter
2023-06-15 14:50:48,1248.0,0.0,286,322711,siruntu,webcam,presenter
2023-06-15 14:50:49,1248.0,0.0,492,184565,siruntu,webcam,presenter
2023-06-15 14:50:50,1248.0,0.0,164,244961,siruntu,webcam,presenter
2023-06-15 14:50:51,1248.0,0.0,688,216942,siruntu,webcam,presenter
2023-06-15 14:50:52,1248.0,0.0,796,261764,siruntu,webcam,presenter
2023-06-15 14:50:53,1248.0,0.0,286,223205,siruntu,webcam,presenter
2023-06-15 14:50:54,1248.0,0.0,492,213745,siruntu,webcam,presenter
2023-06-15 14:50:55,1248.0,0.0,328,225956,siruntu,webcam,presenter
2023-06-15 14:50:56,1248.0,0.0,590,225225,siruntu,webcam,presenter
2023-06-15 14:50:57,1248.0,0.0,492,184741,siruntu,webcam,presenter
2023-06-15 14:50:58,1248.0,0.0,468,240943,siruntu,webcam,presenter
2023-06-15 14:50:59,1248.0,0.0,450,135068,siruntu,webcam,presenter
2023-06-15 14:51:00,1248.0,0.0,328,251280,siruntu,webcam,presenter
2023-06-15 14:51:01,1248.0,0.0,898,201265,siruntu,webcam,presenter
2023-06-15 14:51:02,1248.0,0.0,328,259343,siruntu,webcam,presenter
2023-06-15 14:51:03,1248.0,0.0,328,239484,siruntu,webcam,presenter
2023-06-15 14:51:04,1248.0,0.0,450,157886,siruntu,webcam,presenter
2023-06-15 14:51:05,1248.0,0.0,328,317089,siruntu,webcam,presenter
2023-06-15 14:51:06,1248.0,0.0,328,273067,siruntu,webcam,presenter
2023-06-15 14:51:07,1248.0,0.0,1110,146392,siruntu,webcam,presenter
2023-06-15 14:51:08,1248.0,0.0,328,35822,siruntu,webcam,presenter
2023-06-15 14:51:09,1248.0,0.0,450,32927,siruntu,webcam,presenter
2023-06-15 14:51:10,1248.0,0.0,328,33255,siruntu,webcam,presenter
2023-06-15 14:51:11,1248.0,0.0,402,45197,siruntu,webcam,presenter
2023-06-15 14:51:12,1248.0,0.0,614,42906,siruntu,webcam,presenter
2023-06-15 14:51:13,1248.0,0.0,304,46579,siruntu,webcam,presenter
2023-06-15 14:51:14,1248.0,0.0,328,38228,siruntu,webcam,presenter
2023-06-15 14:51:15,1248.0,0.0,614,46802,siruntu,webcam,presenter
2023-06-15 14:51:16,1248.0,0.0,328,32076,siruntu,webcam,presenter
2023-06-15 14:51:17,1248.0,0.0,426,48556,siruntu,webcam,presenter
2023-06-15 14:51:18,16132.0,0.0,492,49244,siruntu,webcam,presenter
2023-06-15 14:51:19,16132.0,0.0,328,35890,siruntu,webcam,presenter
2023-06-15 14:51:20,16132.0,0.0,450,47916,siruntu,webcam,presenter
2023-06-15 14:51:21,2496.0,0.0,1856,44376,siruntu,webcam,presenter
2023-06-15 14:51:22,1248.0,0.0,426,42568,siruntu,webcam,presenter
2023-06-15 14:51:23,1248.0,0.0,328,41217,siruntu,webcam,presenter
2023-06-15 14:51:24,1248.0,0.0,328,36949,siruntu,webcam,presenter
2023-06-15 14:51:25,1248.0,0.0,520,60731,siruntu,webcam,presenter
2023-06-15 14:51:26,1248.0,0.0,492,62865,siruntu,webcam,presenter
2023-06-15 14:51:27,1248.0,0.0,328,63061,siruntu,webcam,presenter
2023-06-15 14:51:28,1248.0,0.0,590,56552,siruntu,webcam,presenter
2023-06-15 14:51:29,1248.0,0.0,328,55012,siruntu,webcam,presenter
2023-06-15 14:51:30,1248.0,0.0,450,70060,siruntu,webcam,presenter
2023-06-15 14:51:31,1248.0,0.0,402,72752,siruntu,webcam,presenter
2023-06-15 14:51:32,1248.0,0.0,632,62039,siruntu,webcam,presenter
2023-06-15 14:51:33,1248.0,0.0,286,68910,siruntu,webcam,presenter
2023-06-15 14:51:34,1248.0,0.0,492,47836,siruntu,webcam,presenter
2023-06-15 14:51:35,1248.0,0.0,428,45580,siruntu,webcam,presenter
2023-06-15 14:51:36,1248.0,0.0,614,25522,siruntu,webcam,presenter
2023-06-15 14:51:37,1248.0,0.0,468,20190,siruntu,webcam,presenter
2023-06-15 14:51:38,1248.0,0.0,450,19779,siruntu,webcam,presenter
2023-06-15 14:51:39,1248.0,0.0,492,21068,siruntu,webcam,presenter
2023-06-15 14:51:40,1248.0,0.0,164,21402,siruntu,webcam,presenter
2023-06-15 14:51:41,1248.0,0.0,828,21307,siruntu,webcam,presenter
2023-06-15 14:51:42,1248.0,0.0,164,20138,siruntu,webcam,presenter
2023-06-15 14:51:43,1248.0,0.0,492,21835,siruntu,webcam,presenter
2023-06-15 14:51:44,1248.0,0.0,450,18069,siruntu,webcam,presenter
