time,pid,port,download_(bytes),upload_(bytes),app,media,user
2023-06-14 14:30:02,15988.0,0.0,6039,47607,zoom,webcam,presenter
2023-06-14 14:30:03,15988.0,0.0,16105,118824,zoom,webcam,presenter
2023-06-14 14:30:04,15988.0,0.0,13506,123191,zoom,webcam,presenter
2023-06-14 14:30:05,15988.0,0.0,10926,108389,zoom,webcam,presenter
2023-06-14 14:30:06,15988.0,0.0,13490,117115,zoom,webcam,presenter
2023-06-14 14:30:07,31976.0,0.0,14010,106263,zoom,webcam,presenter
2023-06-14 14:30:08,31976.0,0.0,11200,105691,zoom,webcam,presenter
2023-06-14 14:30:09,31976.0,0.0,9197,100633,zoom,webcam,presenter
2023-06-14 14:30:10,15988.0,0.0,20324,138366,zoom,webcam,presenter
2023-06-14 14:30:11,15988.0,0.0,792,54830,zoom,webcam,presenter
2023-06-14 14:30:12,15988.0,0.0,18345,66213,zoom,webcam,presenter
2023-06-14 14:30:13,15988.0,0.0,24113,171119,zoom,webcam,presenter
2023-06-14 14:30:14,15988.0,0.0,12504,72900,zoom,webcam,presenter
2023-06-14 14:30:15,15988.0,0.0,6178,72137,zoom,webcam,presenter
2023-06-14 14:30:16,15988.0,0.0,9952,60835,zoom,webcam,presenter
2023-06-14 14:30:17,15988.0,0.0,4572,43519,zoom,webcam,presenter
2023-06-14 14:30:19,15988.0,0.0,2245,928,zoom,webcam,presenter
2023-06-14 14:30:20,15988.0,0.0,5529,36959,zoom,webcam,presenter
2023-06-14 14:30:21,15988.0,0.0,0,412,zoom,webcam,presenter
2023-06-14 14:30:22,15988.0,0.0,1987,50845,zoom,webcam,presenter
2023-06-14 14:30:23,15988.0,0.0,7128,5817,zoom,webcam,presenter
2023-06-14 14:30:24,47964.0,0.0,2197,1970,zoom,webcam,presenter
2023-06-14 14:30:25,15988.0,0.0,2198,4399,zoom,webcam,presenter
2023-06-14 14:30:26,15988.0,0.0,2786,8265,zoom,webcam,presenter
2023-06-14 14:30:27,15988.0,0.0,1980,4409,zoom,webcam,presenter
2023-06-14 14:30:28,15988.0,0.0,1816,3875,zoom,webcam,presenter
2023-06-14 14:30:29,31976.0,0.0,1917,6164,zoom,webcam,presenter
2023-06-14 14:30:30,15988.0,0.0,1980,4700,zoom,webcam,presenter
2023-06-14 14:30:31,63952.0,0.0,2505,2221,zoom,webcam,presenter
2023-06-14 14:30:32,47964.0,0.0,2677,3524,zoom,webcam,presenter
2023-06-14 14:30:33,47964.0,0.0,2612,2202,zoom,webcam,presenter
2023-06-14 14:30:34,15988.0,0.0,1287,2965,zoom,webcam,presenter
2023-06-14 14:30:35,47964.0,0.0,1687,1424,zoom,webcam,presenter
2023-06-14 14:30:36,15988.0,0.0,1618,2225,zoom,webcam,presenter
2023-06-14 14:30:37,15988.0,0.0,594,1523,zoom,webcam,presenter
2023-06-14 14:30:38,15988.0,0.0,1881,4873,zoom,webcam,presenter
2023-06-14 14:30:39,15988.0,0.0,1321,1630,zoom,webcam,presenter
2023-06-14 14:30:40,15988.0,0.0,1683,4018,zoom,webcam,presenter
2023-06-14 14:30:41,15988.0,0.0,1004,1836,zoom,webcam,presenter
2023-06-14 14:30:42,15988.0,0.0,1010,1813,zoom,webcam,presenter
2023-06-14 14:30:43,15988.0,0.0,396,1706,zoom,webcam,presenter
2023-06-14 14:30:44,15988.0,0.0,1301,2162,zoom,webcam,presenter
2023-06-14 14:30:45,15988.0,0.0,1802,3885,zoom,webcam,presenter
2023-06-14 14:30:46,31976.0,0.0,1986,2019,zoom,webcam,presenter
2023-06-14 14:30:48,15988.0,0.0,990,2863,zoom,webcam,presenter
2023-06-14 14:30:49,15988.0,0.0,1109,1729,zoom,webcam,presenter
2023-06-14 14:30:50,17212.0,0.0,1508,2019,zoom,webcam,presenter
2023-06-14 14:30:51,31976.0,0.0,978,1790,zoom,webcam,presenter
2023-06-14 14:30:52,31976.0,0.0,1592,2324,zoom,webcam,presenter
