time,pid,port,download_(bytes),upload_(bytes),app,media,user
2023-06-14 13:28:18,13332.0,0.0,43475,18377,gmeet,webcam,viewer_3
2023-06-14 13:28:19,4444.0,0.0,75477,1766,gmeet,webcam,viewer_3
2023-06-14 13:28:20,20148.0,0.0,71287,5107,gmeet,webcam,viewer_3
2023-06-14 13:28:21,20148.0,0.0,125838,7079,gmeet,webcam,viewer_3
2023-06-14 13:28:22,24592.0,0.0,132192,4776,gmeet,webcam,viewer_3
2023-06-14 13:28:23,8888.0,0.0,64460,1594,gmeet,webcam,viewer_3
2023-06-14 13:28:24,4444.0,0.0,76370,1776,gmeet,webcam,viewer_3
2023-06-14 13:28:25,17776.0,0.0,71658,1598,gmeet,webcam,viewer_3
2023-06-14 13:28:26,4444.0,0.0,57180,1266,gmeet,webcam,viewer_3
2023-06-14 13:28:27,4444.0,0.0,71131,2084,gmeet,webcam,viewer_3
2023-06-14 13:28:28,4444.0,0.0,54325,1588,gmeet,webcam,viewer_3
2023-06-14 13:28:29,4444.0,0.0,73223,1921,gmeet,webcam,viewer_3
2023-06-14 13:28:30,4444.0,0.0,74004,1650,gmeet,webcam,viewer_3
2023-06-14 13:28:31,17776.0,0.0,77721,4172,gmeet,webcam,viewer_3
2023-06-14 13:28:32,13332.0,0.0,69762,1676,gmeet,webcam,viewer_3
2023-06-14 13:28:33,8888.0,0.0,68370,3858,gmeet,webcam,viewer_3
2023-06-14 13:28:34,4444.0,0.0,60132,1864,gmeet,webcam,viewer_3
2023-06-14 13:28:35,8888.0,0.0,67827,2423,gmeet,webcam,viewer_3
2023-06-14 13:28:36,4444.0,0.0,57023,1599,gmeet,webcam,viewer_3
2023-06-14 13:28:37,8888.0,0.0,75847,2226,gmeet,webcam,viewer_3
2023-06-14 13:28:38,4444.0,0.0,72572,1698,gmeet,webcam,viewer_3
2023-06-14 13:28:39,4444.0,0.0,70460,1705,gmeet,webcam,viewer_3
2023-06-14 13:28:40,4444.0,0.0,80305,1966,gmeet,webcam,viewer_3
2023-06-14 13:28:41,13332.0,0.0,49484,2572,gmeet,webcam,viewer_3
2023-06-14 13:28:42,17776.0,0.0,68151,6757,gmeet,webcam,viewer_3
2023-06-14 13:28:43,13332.0,0.0,66788,1752,gmeet,webcam,viewer_3
