time,pid,port,download_(bytes),upload_(bytes),app,media,user
2023-06-15 14:53:08,8708.0,0.0,22118,522,siruntu,webcam,viewer_3
2023-06-15 14:53:09,8708.0,0.0,22273,434,siruntu,webcam,viewer_3
2023-06-15 14:53:10,8708.0,0.0,18856,372,siruntu,webcam,viewer_3
2023-06-15 14:53:11,8708.0,0.0,19358,254,siruntu,webcam,viewer_3
2023-06-15 14:53:12,8708.0,0.0,20940,732,siruntu,webcam,viewer_3
2023-06-15 14:53:13,8708.0,0.0,18401,794,siruntu,webcam,viewer_3
2023-06-15 14:53:14,17416.0,0.0,13040,974,siruntu,webcam,viewer_3
2023-06-15 14:53:15,8708.0,0.0,20652,844,siruntu,webcam,viewer_3
2023-06-15 14:53:16,8708.0,0.0,18584,744,siruntu,webcam,viewer_3
2023-06-15 14:53:17,8708.0,0.0,29597,844,siruntu,webcam,viewer_3
2023-06-15 14:53:18,8708.0,0.0,20422,844,siruntu,webcam,viewer_3
2023-06-15 14:53:19,8708.0,0.0,18368,820,siruntu,webcam,viewer_3
2023-06-15 14:53:20,8708.0,0.0,20261,732,siruntu,webcam,viewer_3
2023-06-15 14:53:21,8708.0,0.0,19572,764,siruntu,webcam,viewer_3
2023-06-15 14:53:22,8708.0,0.0,22049,448,siruntu,webcam,viewer_3
2023-06-15 14:53:23,8708.0,0.0,20728,448,siruntu,webcam,viewer_3
2023-06-15 14:53:24,8708.0,0.0,17703,590,siruntu,webcam,viewer_3
2023-06-15 14:53:25,8708.0,0.0,23623,648,siruntu,webcam,viewer_3
2023-06-15 14:53:26,8708.0,0.0,17081,714,siruntu,webcam,viewer_3
2023-06-15 14:53:27,17416.0,0.0,23489,602,siruntu,webcam,viewer_3
2023-06-15 14:53:28,8708.0,0.0,20850,648,siruntu,webcam,viewer_3
2023-06-15 14:53:29,8708.0,0.0,18085,540,siruntu,webcam,viewer_3
2023-06-15 14:53:30,8708.0,0.0,19733,448,siruntu,webcam,viewer_3
2023-06-15 14:53:31,8708.0,0.0,20996,590,siruntu,webcam,viewer_3
2023-06-15 14:53:32,8708.0,0.0,20019,448,siruntu,webcam,viewer_3
2023-06-15 14:53:33,8708.0,0.0,23224,560,siruntu,webcam,viewer_3
2023-06-15 14:53:34,8708.0,0.0,17546,590,siruntu,webcam,viewer_3
2023-06-15 14:53:35,8708.0,0.0,21035,536,siruntu,webcam,viewer_3
2023-06-15 14:53:36,8708.0,0.0,22482,572,siruntu,webcam,viewer_3
2023-06-15 14:53:37,8708.0,0.0,20836,652,siruntu,webcam,viewer_3
2023-06-15 14:53:38,8708.0,0.0,21562,560,siruntu,webcam,viewer_3
2023-06-15 14:53:39,8708.0,0.0,14723,678,siruntu,webcam,viewer_3
2023-06-15 14:53:40,8708.0,0.0,23580,560,siruntu,webcam,viewer_3
2023-06-15 14:53:41,17416.0,0.0,18837,378,siruntu,webcam,viewer_3
2023-06-15 14:53:42,8708.0,0.0,21274,590,siruntu,webcam,viewer_3
2023-06-15 14:53:43,8708.0,0.0,21197,448,siruntu,webcam,viewer_3
2023-06-15 14:53:44,8708.0,0.0,18077,560,siruntu,webcam,viewer_3
2023-06-15 14:53:45,8708.0,0.0,22672,590,siruntu,webcam,viewer_3
2023-06-15 14:53:46,8708.0,0.0,20893,710,siruntu,webcam,viewer_3
2023-06-15 14:53:47,8708.0,0.0,18975,652,siruntu,webcam,viewer_3
2023-06-15 14:53:48,8708.0,0.0,21661,448,siruntu,webcam,viewer_3
