time,pid,port,download_(bytes),upload_(bytes),app,media,user
2023-06-14 14:38:20,8948.0,0.0,9038,2326,zoom,webcam,viewer_8
2023-06-14 14:38:21,8948.0,0.0,16049,2837,zoom,webcam,viewer_8
2023-06-14 14:38:22,8948.0,0.0,2074,1358,zoom,webcam,viewer_8
2023-06-14 14:38:23,8948.0,0.0,24752,3957,zoom,webcam,viewer_8
2023-06-14 14:38:24,8948.0,0.0,12549,2570,zoom,webcam,viewer_8
2023-06-14 14:38:25,8948.0,0.0,11595,2225,zoom,webcam,viewer_8
2023-06-14 14:38:26,8948.0,0.0,6658,2529,zoom,webcam,viewer_8
2023-06-14 14:38:28,8948.0,0.0,24207,3378,zoom,webcam,viewer_8
2023-06-14 14:38:29,8948.0,0.0,20669,3498,zoom,webcam,viewer_8
2023-06-14 14:38:30,8948.0,0.0,14356,2426,zoom,webcam,viewer_8
2023-06-14 14:38:31,8948.0,0.0,5079,1482,zoom,webcam,viewer_8
2023-06-14 14:38:32,8948.0,0.0,19084,3685,zoom,webcam,viewer_8
2023-06-14 14:38:33,8948.0,0.0,10033,2030,zoom,webcam,viewer_8
2023-06-14 14:38:34,17896.0,0.0,6426,1622,zoom,webcam,viewer_8
2023-06-14 14:38:35,8948.0,0.0,14801,3252,zoom,webcam,viewer_8
2023-06-14 14:38:36,8948.0,0.0,14210,3254,zoom,webcam,viewer_8
2023-06-14 14:38:37,8948.0,0.0,16282,2765,zoom,webcam,viewer_8
2023-06-14 14:38:38,8948.0,0.0,10997,2897,zoom,webcam,viewer_8
2023-06-14 14:38:39,8948.0,0.0,12868,2901,zoom,webcam,viewer_8
2023-06-14 14:38:40,8948.0,0.0,13980,3524,zoom,webcam,viewer_8
2023-06-14 14:38:41,8948.0,0.0,13034,2262,zoom,webcam,viewer_8
2023-06-14 14:38:42,8948.0,0.0,16246,1782,zoom,webcam,viewer_8
2023-06-14 14:38:43,8948.0,0.0,13012,3157,zoom,webcam,viewer_8
2023-06-14 14:38:44,8948.0,0.0,12140,1987,zoom,webcam,viewer_8
2023-06-14 14:38:45,8948.0,0.0,12798,2179,zoom,webcam,viewer_8
2023-06-14 14:38:46,8948.0,0.0,10934,2781,zoom,webcam,viewer_8
2023-06-14 14:38:47,8948.0,0.0,16814,3083,zoom,webcam,viewer_8
2023-06-14 14:38:48,8948.0,0.0,9972,2642,zoom,webcam,viewer_8
2023-06-14 14:38:49,8948.0,0.0,10762,2612,zoom,webcam,viewer_8
